species,n,D,second_fraction,T,R1,R2,R12,SD_M1,SD_M2,mean_M1,mean_M2,p_white,p_yellow_orange,p_red_pink,p_blue_purple
Cylindropuntia echinocarpa,47,0.19013128112268007,0.10638297872340426,0.16178958573730845,0.2497782697066839,0.15826291808818138,0.40804118779486526,0.2010261743704687,0.1600165365050264,0.05706006892318353,0.01261733786479805,0.10638297872340426,0.8936170212765957,0.0,0.0
Cypripedium guttatum,46,0.33364839319470696,0.13043478260869565,0.12467473990961671,0.16708425051971143,0.3791975324720254,0.5462817829917369,0.14433012671143292,0.21743126209291574,-0.3442194194657314,0.224941699302699,0.8043478260869565,0.043478260869565216,0.13043478260869565,0.021739130434782608
Dalea candida,74,0.0525931336742147,0.02702702702702703,0.06177961241249939,0.3316999211621354,0.3577555680834305,0.689455489245566,0.1431512925776548,0.14866741517430063,-0.38407078531512434,0.41397085865452377,0.972972972972973,0.02702702702702703,0.0,0.0
Dampiera stricta,79,0.18426534209261325,0.08860759493670886,0.1974139159411596,0.09073931746834786,0.10745819743715457,0.19819751490550241,0.13384021813810157,0.14564938570432406,-0.08939717537411014,0.039076189861487635,0.08860759493670886,0.012658227848101266,0.0,0.8987341772151899
Delphinium glaucum,44,0.20144628099173545,0.11363636363636363,0.11167533668364049,0.09612788545726163,0.14738316694509737,0.24351105240235899,0.10361039510167948,0.1282928867478433,-0.10200318359754555,0.020465068372689466,0.11363636363636363,0.0,0.0,0.8863636363636364
Delphinium sutherlandii,53,0.10679957280170882,0.05660377358490566,0.1284788182765383,0.06567015348323677,0.07165652242443787,0.13732667590767464,0.0918543614400816,0.0959497020469477,-0.08505970313664893,0.027261532110714477,0.05660377358490566,0.0,0.0,0.9433962264150944
Desmanthus illinoensis,66,0.23553719008264462,0.13636363636363635,0.11765105903176047,0.43881536064556187,0.29265527439267075,0.7314706350382326,0.2272159587250734,0.1855564683958179,-0.19887145184400942,0.4211715086739546,0.8636363636363636,0.13636363636363635,0.0,0.0
Diplacus mephiticus,68,0.5627162629757786,0.4117647058823529,0.2806969995469953,0.0260156938210082,0.04399893339324327,0.07001462721425146,0.08545482547340616,0.11113221219228687,0.025472533611461075,-0.11443633487128795,0.04411764705882353,0.5147058823529411,0.4117647058823529,0.029411764705882353
Diplotaxis tenuifolia,78,0.09730440499671267,0.05128205128205128,0.10241891355919663,0.1851877365801276,0.2672003633756943,0.4523880999558219,0.1377197399976611,0.1654278420325949,0.08186415564604652,-0.09232655109499961,0.05128205128205128,0.9487179487179487,0.0,0.0
Disphyma crassifolium,47,0.4717066545948393,0.14893617021276595,0.1552122474011392,0.07019054209543245,0.14650766202350576,0.2166982041189382,0.10437639476881894,0.1507971600666102,-0.10706531471850553,0.04215957823106554,0.14893617021276595,0.0425531914893617,0.7021276595744681,0.10638297872340426
Distimake aegyptius,50,0.07679999999999998,0.04,0.0971314410283791,0.2596056578058447,0.48590349363655155,0.7455091514423964,0.15879506176768213,0.21724756969329279,-0.5272584734458072,0.5390349036967821,0.96,0.04,0.0,0.0
Distimake dissectus,57,0.22283779624499866,0.07017543859649122,0.14734234234158003,0.3037454654832051,0.40757828545878383,0.7113237509419889,0.21155275550067643,0.2450582364807646,-0.47458500512498636,0.47453469199203613,0.8771929824561403,0.07017543859649122,0.05263157894736842,0.0
