species,n_classifiable,D,second_fraction,n_raw,n_mixed,n_ambiguous_palette,n_bridge,n_technical_mixed,mixed_rate,ambiguous_palette_rate,bridge_rate,technical_mixed_rate
Geranium macrorrhizum,45,0.5244444444444445,0.28888888888888886,100,55,9,9,46,0.55,0.09,0.09,0.46
Geranium molle,52,0.6427514792899409,0.2692307692307692,100,48,11,11,37,0.48,0.11,0.11,0.37
Geranium richardsonii,56,0.06951530612244883,0.017857142857142856,100,44,0,0,44,0.44,0.0,0.0,0.44
Geranium yeoi,63,0.5840262030738221,0.4444444444444444,100,37,6,5,31,0.37,0.06,0.05,0.31
Geum canadense,51,0.03844675124951946,0.0196078431372549,100,49,1,1,48,0.49,0.01,0.01,0.48
Geum macrophyllum,67,0.08554243706838949,0.04477611940298507,100,33,1,1,32,0.33,0.01,0.01,0.32
Geum urbanum,65,0.11550295857988169,0.06153846153846154,100,35,2,2,33,0.35,0.02,0.02,0.33
Gompholobium huegelii,66,0.3673094582185492,0.24242424242424243,100,34,1,1,33,0.34,0.01,0.01,0.33
Goodenia ovata,74,0.0525931336742147,0.02702702702702703,100,26,0,0,26,0.26,0.0,0.0,0.26
Grevillea alpina,42,0.5770975056689343,0.40476190476190477,100,58,14,14,44,0.58,0.14,0.14,0.44
Grevillea lavandulacea,46,0.12476370510396972,0.021739130434782608,100,54,1,1,53,0.54,0.01,0.01,0.53
Guzmania monostachia,45,0.4404938271604938,0.2222222222222222,100,55,6,5,49,0.55,0.06,0.05,0.49
Hedypnois rhagadioloides,61,0.03224939532383764,0.01639344262295082,100,39,0,0,39,0.39,0.0,0.0,0.39
Helenium autumnale,81,0.0,0.0,100,19,0,0,19,0.19,0.0,0.0,0.19
Helianthus divaricatus,57,0.06771314250538629,0.03508771929824561,100,43,0,0,43,0.43,0.0,0.0,0.43
Hepatica acutiloba,59,0.033323757540936416,0.01694915254237288,100,41,1,1,40,0.41,0.01,0.01,0.4
Hibbertia cuneiformis,62,0.12226847034339239,0.04838709677419355,100,38,0,0,38,0.38,0.0,0.0,0.38
Hibiscus denudatus,52,0.35650887573964496,0.1346153846153846,100,48,5,5,43,0.48,0.05,0.05,0.43
Hofmeisteria fasciculata,56,0.16709183673469385,0.05357142857142857,100,44,8,8,36,0.44,0.08,0.08,0.36
Homogyne alpina,50,0.36560000000000004,0.14,100,50,6,6,44,0.5,0.06,0.06,0.44
Hyacinthoides non-scripta,61,0.1504971781779092,0.08196721311475409,100,39,4,4,35,0.39,0.04,0.04,0.35
Hypocalymma robustum,47,0.2670891806247171,0.06382978723404255,100,53,14,14,39,0.53,0.14,0.14,0.39
Iliamna rivularis,52,0.2122781065088758,0.057692307692307696,100,48,17,17,31,0.48,0.17,0.17,0.31
Ipomoea cairica,48,0.5720486111111112,0.20833333333333334,100,52,10,10,42,0.52,0.1,0.1,0.42
Ipomoea pes-caprae,48,0.5512152777777778,0.1875,100,52,20,20,32,0.52,0.2,0.2,0.32
Jacobaea adonidifolia,75,0.026311111111110952,0.013333333333333334,100,25,0,0,25,0.25,0.0,0.0,0.25
Jaumea carnosa,75,0.05191111111111102,0.02666666666666667,100,25,1,1,24,0.25,0.01,0.01,0.24
Johnstonella angustifolia,60,0.0,0.0,100,40,1,1,39,0.4,0.01,0.01,0.39
Lachenalia reflexa,54,0.07133058984910856,0.037037037037037035,100,46,0,0,46,0.46,0.0,0.0,0.46
Lamprocapnos spectabilis,60,0.15500000000000014,0.06666666666666667,100,40,4,3,36,0.4,0.04,0.03,0.36
Lantana involucrata,56,0.19451530612244894,0.08928571428571429,100,44,1,1,43,0.44,0.01,0.01,0.43
Lathyrus japonicus,47,0.5015844273426889,0.2978723404255319,100,53,11,11,42,0.53,0.11,0.11,0.42
Lathyrus palustris,41,0.62819750148721,0.2926829268292683,100,59,19,19,40,0.59,0.19,0.19,0.4
Lathyrus pratensis,71,0.08172981551279512,0.028169014084507043,100,29,0,0,29,0.29,0.0,0.0,0.29
Lepidium campestre,68,0.20761245674740492,0.11764705882352941,100,32,8,8,24,0.32,0.08,0.08,0.24
Lepidium fremontii,72,0.07986111111111094,0.041666666666666664,100,28,1,1,27,0.28,0.01,0.01,0.27
Leucaena leucocephala,49,0.3898375676801332,0.2653061224489796,100,51,9,9,42,0.51,0.09,0.09,0.42
Leucopogon affinis,65,0.05964497041420125,0.03076923076923077,100,35,0,0,35,0.35,0.0,0.0,0.35
Leucopogon microphyllus,68,0.028979238754325065,0.014705882352941176,100,32,4,4,28,0.32,0.04,0.04,0.28
Ligustrum obtusifolium,61,0.03224939532383764,0.01639344262295082,100,39,0,0,39,0.39,0.0,0.0,0.39
Linum catharticum,57,0.10095413973530332,0.03508771929824561,100,43,4,4,39,0.43,0.04,0.04,0.39
Linum lewisii,69,0.5402226423020373,0.463768115942029,100,31,5,5,26,0.31,0.05,0.05,0.26
Lithospermum canescens,79,0.0,0.0,100,21,1,1,20,0.21,0.01,0.01,0.2
Lobelia erinus,64,0.26806640625,0.140625,100,36,2,2,34,0.36,0.02,0.02,0.34
Loeselia glandulosa,52,0.632396449704142,0.28846153846153844,100,48,23,22,25,0.48,0.23,0.22,0.25
Ludwigia peruviana,43,0.0,0.0,100,57,0,0,57,0.57,0.0,0.0,0.57
Lupinus arizonicus,46,0.20037807183364842,0.06521739130434782,100,54,20,20,34,0.54,0.2,0.2,0.34
Lupinus havardii,60,0.12611111111111106,0.05,100,40,4,4,36,0.4,0.04,0.04,0.36
Lupinus microcarpus,47,0.5667722951561793,0.1702127659574468,100,53,6,6,47,0.53,0.06,0.06,0.47
Lysimachia loeflingii,64,0.14697265625,0.046875,100,36,3,3,33,0.36,0.03,0.03,0.33
