discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
v1_only,20_plus,not_previously_opened,20001_25000,singleton_genus_label,10,7,1,0,1,5
v1_only,20_plus,not_previously_opened,25001_30000,non_singleton_genus_label,191,94,8,7,40,39
v1_only,20_plus,not_previously_opened,25001_30000,singleton_genus_label,17,4,1,0,2,1
v1_only,20_plus,not_previously_opened,30001_35000,non_singleton_genus_label,192,96,9,10,47,30
v1_only,20_plus,not_previously_opened,30001_35000,singleton_genus_label,10,4,0,0,1,3
v1_only,20_plus,not_previously_opened,35001_40000,non_singleton_genus_label,187,101,11,8,55,27
v1_only,20_plus,not_previously_opened,35001_40000,singleton_genus_label,9,5,0,0,3,2
v1_only,20_plus,not_previously_opened,40001_42111,non_singleton_genus_label,75,43,2,8,21,12
v1_only,20_plus,not_previously_opened,40001_42111,singleton_genus_label,7,2,0,0,2,0
v1_only,20_plus,not_previously_opened,5001_10000,non_singleton_genus_label,169,76,9,11,32,24
v1_only,20_plus,not_previously_opened,5001_10000,singleton_genus_label,17,7,1,0,1,5
v1_only,20_plus,previously_opened_1000,10001_15000,non_singleton_genus_label,9,7,1,0,3,3
v1_only,20_plus,previously_opened_1000,10001_15000,singleton_genus_label,2,0,0,0,0,0
v1_only,20_plus,previously_opened_1000,15001_20000,non_singleton_genus_label,9,8,3,2,2,1
v1_only,20_plus,previously_opened_1000,1_5000,non_singleton_genus_label,19,9,3,0,4,2
v1_only,20_plus,previously_opened_1000,1_5000,singleton_genus_label,1,1,0,0,1,0
v1_only,20_plus,previously_opened_1000,20001_25000,non_singleton_genus_label,16,9,0,2,6,1
v1_only,20_plus,previously_opened_1000,25001_30000,non_singleton_genus_label,14,8,0,0,4,4
v1_only,20_plus,previously_opened_1000,30001_35000,non_singleton_genus_label,8,5,1,1,1,2
v1_only,20_plus,previously_opened_1000,30001_35000,singleton_genus_label,1,1,0,0,1,0
v1_only,20_plus,previously_opened_1000,35001_40000,non_singleton_genus_label,12,5,2,0,2,1
v1_only,20_plus,previously_opened_1000,40001_42111,non_singleton_genus_label,5,4,0,0,4,0
v1_only,20_plus,previously_opened_1000,40001_42111,singleton_genus_label,2,2,0,0,1,1
v1_only,20_plus,previously_opened_1000,5001_10000,non_singleton_genus_label,12,8,1,1,4,2
v1_only,2_4,not_previously_opened,10001_15000,non_singleton_genus_label,287,134,11,20,53,50
v1_only,2_4,not_previously_opened,10001_15000,singleton_genus_label,18,7,0,0,4,3
