species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Pultenaea villosa,0.0302958579881655,0.0153846153846153,0.0252033991649782,False,False,discovery
Purshia stansburyana,0.3298611111111111,0.2083333333333333,0.1308186828062827,True,True,discovery
Pycnanthemum virginianum,0.0459515570934256,0.0235294117647058,-0.0423683183221087,False,False,discovery
Pyrola elliptica,0.0,0.0,0.0685497355915716,False,False,discovery
Ranunculus kuepferi,0.0730652139080274,0.0379746835443038,0.0601795587338429,False,False,discovery
Ranunculus lyallii,0.0820408163265304,0.0428571428571428,0.0669423589179936,False,False,discovery
Ranunculus trichophyllus,0.0777940102264427,0.0405405405405405,-0.0013295006168879,False,False,discovery
Ranunculus uncinatus,0.2675619834710743,0.1590909090909091,-0.1466813222707451,True,False,discovery
Rhododendron canadense,0.345679012345679,0.2222222222222222,-0.0159739150655374,True,True,discovery
Rhododendron catawbiense,0.4765625,0.1875,0.0589711287419964,True,False,discovery
Rhododendron pseudochrysanthum,0.2112,0.12,-0.0079436015841899,True,False,discovery
Rhododendron tomentosum,0.0322493953238376,0.0163934426229508,0.0102309181242581,False,False,discovery
Rhynchospora colorata,0.1107266435986158,0.0588235294117647,0.0055901039923096,False,False,discovery
Rorippa palustris,0.1461325270849081,0.0793650793650793,0.1487842339382076,False,False,discovery
Rosa blanda,0.6135999999999999,0.38,0.0349773906299877,True,True,discovery
Rosa multiflora,0.0547510414600276,0.028169014084507,0.002661443806738,False,False,discovery
Rubus chamaemorus,0.1575505350772887,0.0862068965517241,0.0260203967389201,False,False,discovery
Rubus odoratus,0.4919999999999999,0.16,0.1197375393876963,True,False,discovery
Rubus trivialis,0.0,0.0,-0.0201410564888419,False,False,discovery
Rudbeckia triloba,0.0263111111111109,0.0133333333333333,0.0625779548263717,False,False,discovery
Sagittaria lancifolia,0.0965239873599539,0.0508474576271186,-0.1239314533459174,False,False,discovery
Sagittaria latifolia,0.0570934256055364,0.0294117647058823,-0.0227790790743755,False,False,discovery
Sairocarpus pusillus,0.2520281233098973,0.0697674418604651,-0.0335913039119058,False,False,discovery
Salvia amarissima,0.4789670970428987,0.3469387755102041,-0.1025253494528125,True,True,discovery
Salvia hispanica,0.5020155872077399,0.3278688524590163,-0.0179171907827264,True,True,discovery
Salvia lavanduloides,0.501584427342689,0.3404255319148936,0.0269029421918083,True,True,discovery
Salvia polystachia,0.505137912385073,0.3953488372093023,-0.0509437730962786,True,True,discovery
Salvia prunelloides,0.1866319444444444,0.1041666666666666,-0.0454785618293943,True,False,discovery
Salvia verticillata,0.6064049586776861,0.3181818181818182,-0.0421699800567001,True,True,discovery
Sambucus mexicana,0.3402646502835538,0.217391304347826,-0.0679880861194459,True,True,discovery
Sanguinaria canadensis,0.2076124567474049,0.1176470588235294,-0.0035931220080824,True,False,discovery
Satureja montana,0.0961111111111111,0.0333333333333333,0.0651646234480904,False,False,discovery
Saxifraga granulata,0.0285654274312119,0.0144927536231884,0.0131155978521174,False,False,discovery
Saxifraga tridactylites,0.3173076923076923,0.173076923076923,-0.0788731628483825,True,False,discovery
Scilla bifolia,0.3152633602460591,0.196078431372549,0.0193927486596278,True,False,discovery
Scilla luciliae,0.4481470841712152,0.3389830508474576,0.0182099464619862,True,True,discovery
Scilla verna,0.4303350970017637,0.2857142857142857,0.2044366746648321,True,True,discovery
Senecio mohavensis,0.1152433425160697,0.0454545454545454,0.1407964404064005,False,False,discovery
Senecio ovatus,0.0,0.0,-0.0098516102118407,False,False,discovery
Senecio triangularis,0.1617122473246134,0.0517241379310344,0.114870059018694,False,False,discovery
Senecio vernalis,0.0240928019036288,0.0121951219512195,-0.0043697505655796,False,False,discovery
