condition_id,panel,species,n_classifiable,D
fixed_ev_m0_5,N,Acis autumnalis,46,0.1616257088846883
fixed_ev_m0_5,N,Actaea racemosa,46,0.08412098298676751
fixed_ev_m0_5,N,Agave deserti,54,0.10699588477366262
fixed_ev_m0_5,N,Anemonastrum canadense,79,0.02499599423169352
fixed_ev_m0_5,N,Anthriscus caucalis,55,0.0700826446280991
fixed_ev_m0_5,N,Arabidopsis lyrata,77,0.02563670096137627
fixed_ev_m0_5,N,Argentina anserina,80,0.0
fixed_ev_m0_5,N,Asclepias brachystephana,49,0.40816326530612246
fixed_ev_m0_5,N,Asclepias texana,60,0.0
fixed_ev_m0_5,N,Bacopa monnieri,63,0.0
fixed_ev_m0_5,N,Bidens frondosa,55,0.19768595041322323
fixed_ev_m0_5,N,Bidens pilosa,60,0.48
fixed_ev_m0_5,N,Blackstonia perfoliata,65,0.030295857988165587
fixed_ev_m0_5,N,Borago officinalis,41,0.4390243902439025
fixed_ev_m0_5,N,Briza media,60,0.5461111111111111
fixed_ev_m0_5,N,Calochortus subalpinus,53,0.14239943040227843
fixed_ev_m0_5,N,Calochortus venustus,50,0.5271999999999999
fixed_ev_m0_5,N,Campanula cochleariifolia,75,0.07679999999999998
fixed_ev_m0_5,N,Campanula rapunculoides,55,0.20033057851239677
fixed_ev_m0_5,N,Campanula trachelium,49,0.368179925031237
fixed_ev_m0_5,N,Caragana arborescens,51,0.11072664359861584
fixed_ev_m0_5,N,Carpodetus serratus,60,0.032777777777777795
fixed_ev_m0_5,N,Catharanthus roseus,59,0.656707842573973
fixed_ev_m0_5,N,Celmisia gracilenta,69,0.22684310018903586
fixed_ev_m0_5,N,Chaenactis fremontii,77,0.16731320627424529
fixed_ev_m0_5,N,Clarkia purpurea,55,0.5368595041322315
fixed_ev_m0_5,N,Clarkia tenella,68,0.5203287197231834
fixed_ev_m0_5,N,Cochemiea dioica,40,0.5475000000000001
fixed_ev_m0_5,N,Coreopsis basalis,67,0.029405212742259046
fixed_ev_m0_5,N,Cotula australis,64,0.5
fixed_ev_m0_5,N,Crepis capillaris,74,0.02666179693206705
fixed_ev_m0_5,N,Crotalaria retusa,51,0.20761245674740492
fixed_ev_m0_5,N,Croton glandulosus,51,0.1484044598231451
fixed_ev_m0_5,N,Daphne cneorum,70,0.13510204081632649
fixed_ev_m0_5,N,Delphinium variegatum,52,0.10872781065088755
fixed_ev_m0_5,N,Draba aizoides,78,0.0
fixed_ev_m0_5,N,Draba nemorosa,60,0.12444444444444436
fixed_ev_m0_5,N,Erinus alpinus,74,0.3977355734112491
fixed_ev_m0_5,N,Eriogonum pyrolifolium,69,0.3726107960512498
fixed_ev_m0_5,N,Eucrypta chrysanthemifolia,49,0.0
fixed_ev_m0_5,N,Euonymus americanus,57,0.5761772853185596
fixed_ev_m0_5,N,Eupatorium rotundifolium,51,0.0
fixed_ev_m0_5,N,Euphorbia cyathophora,42,0.5430839002267573
fixed_ev_m0_5,N,Evolvulus alsinoides,76,0.41135734072022156
fixed_ev_m0_5,N,Evolvulus nummularius,67,0.05791935843172191
fixed_ev_m0_5,N,Ficinia nodosa,57,0.4130501692828562
fixed_ev_m0_5,N,Florestina tripteris,78,0.07396449704142016
