tranche,species,organization_state,C_star,S_star,D,n_climate_cells,mean_bio4,mean_bio15,spatial_niche_turnover,hv3d_rarefied20,regional_centroid_sep,regional_gaussian_overlap,metric_status
reserve,Allium scorodoprasum,unresolved_photo_state,False,False,0.6304,100,688.7878326416015,25.825259046554564,0.9450323312349751,3.496419244860662,,,complete
reserve,Allium vineale,unresolved_photo_state,False,False,0.4773242630385487,100,728.963374633789,23.559740290641784,0.7786946364123026,10.76445068219198,1.215863642068774,0.3422817655611725,complete
reserve,Anarrhinum bellidifolium,local_cooccurrence_only,True,False,0.5051239669421488,98,515.7475554797114,46.16962240180191,0.7704006082811924,2.4930322311474744,1.1116947062457763,0.29869888309429043,complete
reserve,Anemone palmata,local_cooccurrence_only,True,False,0.22840790842872,78,517.0093857202775,59.16412901267027,0.5264063804206788,1.203798745503312,,,complete
reserve,Anemone virginiana,unresolved_photo_state,False,False,0.2659279778393353,100,972.021986694336,23.067170524597167,1.0567211137691723,4.067337651224647,0.589798995438873,0.5152760684283887,complete
reserve,Antennaria racemosa,local_cooccurrence_only,True,False,0.2423668639053254,71,779.6844486720125,32.57400303155604,0.743016391542031,4.438513171537361,0.885839755441212,0.42430735165223354,complete
reserve,Aphyllanthes monspeliensis,local_cooccurrence_only,True,False,0.5058864265927977,100,612.1032275390625,31.57288173675537,0.5864936862251117,1.8784343173913836,0.9258619469304089,0.5442183972538263,complete
reserve,Aquilegia brevistyla,local_cooccurrence_only,True,False,0.4400181077410593,91,1085.7997275551597,52.59348691164792,0.5966514645822294,2.5544884912731978,0.984985986108513,0.28572393722399025,complete
reserve,Asclepias curassavica,unresolved_photo_state,False,False,0.21875,100,271.93630638122556,73.68579580307006,0.3466115794515333,21.094358623739275,,,complete
reserve,Asclepias purpurascens,unresolved_photo_state,False,False,0.3399999999999998,100,937.2090747070313,23.188579149246216,0.7246305333002392,1.3804411281999591,0.9577303706753847,0.32507401278905573,complete
reserve,Asphodelus albus,local_cooccurrence_only,True,False,0.2401297998918334,100,549.7953674316407,24.962208108901976,0.6926313001247827,3.391257315021877,,,complete
reserve,Astragalus agrestis,local_cooccurrence_only,True,False,0.5246876859012493,91,1056.8465891408396,50.06818163525927,0.6913920826654034,5.015544790931833,,,complete
reserve,Bauera rubioides,cooccurrence_and_segregation,True,True,0.3354591836734693,90,335.1435112847222,25.23551765018039,0.6642555431940488,2.3114519414233237,0.9252019019569755,0.2734476033068164,complete
reserve,Caladenia carnea,cooccurrence_and_segregation,True,True,0.5754132231404958,100,407.9758547973633,32.21100144386291,0.809853576465691,2.4380095057369604,1.006926355079458,0.3830025065650664,complete
reserve,Calochortus bruneaunis,local_cooccurrence_only,True,False,0.2621878715814505,88,765.7632057883523,43.05851728265936,0.5823811638353288,0.7051282888567298,0.81475168984219,0.39626549381704784,complete
reserve,Calochortus splendens,local_cooccurrence_only,True,False,0.5848800362154822,74,467.58236632475985,87.66925110688081,0.08568527423985778,0.4844562653564537,,,complete
reserve,Calopogon barbatus,local_cooccurrence_only,True,False,0.5649382716049383,41,501.0643853908632,41.7849545362519,1.618333590806391,0.19961110157866496,1.6913187833834695,0.03199960745981574,complete
reserve,Calotropis procera,unresolved_photo_state,False,False,0.2256515775034293,99,321.9365021676728,90.4390557992338,0.4621242415963764,13.928112075310779,1.0207424649557435,0.545064100876695,complete
reserve,Carduus acanthoides,unresolved_photo_state,False,False,0.333243751679656,100,918.0196600341797,32.508701219558716,0.70334487915134,9.784427317613778,0.47068538582363084,0.659582777328524,complete
reserve,Carpobrotus edulis,unresolved_photo_state,False,False,0.5772641762966945,99,388.1084755020912,46.85039339161882,0.5302766083197887,8.27256174986549,1.3350036193948835,0.4149545802579077,complete
reserve,Centaurea scabiosa,unresolved_photo_state,False,False,0.6802721088435375,100,863.8858279418945,31.442647914886475,1.4149281474059903,6.470363475481851,1.7075662488250565,0.12620908100295616,complete
reserve,Centratherum punctatum,unresolved_photo_state,False,False,0.5207939508506616,100,212.11313524246216,65.24658776283265,0.2845584024598255,16.325994112804416,0.2707504998571039,0.861142967227828,complete
reserve,Chamaenerion latifolium,unresolved_photo_state,False,False,0.4765625,100,937.6700869750977,42.99970114707947,0.15892915546385042,27.08647631770721,,,complete
reserve,Cicerbita alpina,local_cooccurrence_only,True,False,0.5105462412114656,100,649.6121835327149,27.765505204200746,0.33112139498933363,5.354813524537267,0.7731257889592411,0.354311903281693,complete
reserve,Cirsium occidentale,local_cooccurrence_only,True,False,0.5453898184407263,100,522.0729400634766,84.09390083312988,0.3315099415182897,3.5123970562158,0.5256427655386953,0.5247677139990714,complete
reserve,Cirsium undulatum,unresolved_photo_state,False,False,0.4822485207100592,100,911.8410137939453,48.012634134292604,0.7884210316252187,6.681218278111877,0.9677977384085446,0.5864426140977951,complete
reserve,Clinopodium gracile,local_cooccurrence_only,True,False,0.3168854685378,82,623.3736773235042,32.96621650602759,0.9723254031544627,19.676528206826525,1.0779946617672629,0.09059009813573038,complete
reserve,Clinopodium vulgare,spatial_segregation_only,False,True,0.6454081632653061,100,771.9989639282227,27.808626184463503,0.7395918678665897,16.72251776041106,0.6977473370545767,0.5784515622251748,complete
reserve,Collinsia tinctoria,local_cooccurrence_only,True,False,0.240702479338843,42,643.4966176350912,82.44302567981538,0.5429336518528955,1.1698745439759983,0.885465607495911,0.33415152266384945,complete
reserve,Convolvulus angustissimus,cooccurrence_and_segregation,True,True,0.5405917159763314,69,410.8717677904212,25.676014872564785,0.9420136349850099,1.7182185572432869,,,complete
reserve,Corethrogyne filaginifolia,local_cooccurrence_only,True,False,0.5070153061224489,96,452.1808025042216,89.54570233821869,0.6952468416367327,1.5338612768747244,1.1089216883129556,0.40992568379911404,complete
reserve,Cyclospermum leptophyllum,spatial_segregation_only,False,True,0.3140987507436049,100,471.85925521850584,47.79891324043274,0.12537851217137938,24.60696012286257,0.4761324499680417,0.6818668203824695,complete
reserve,Cynoglossum creticum,unresolved_photo_state,False,False,0.3790087463556851,100,583.8609634399414,55.10278509140014,0.6019479454481513,5.905206366489365,,,complete
reserve,Cynoglossum officinale,unresolved_photo_state,False,False,0.4878048780487805,100,868.071535949707,31.432715787887574,0.32847625826649424,7.868614194415686,0.5347484833921944,0.6901911611203196,complete
reserve,Dactylorhiza sambucina,local_cooccurrence_only,True,False,0.67875,100,646.7545745849609,26.64459165096283,0.10563325414575388,3.807525616127294,0.6789867435913314,0.6647714182117952,complete
reserve,Delphinium nudicaule,local_cooccurrence_only,True,False,0.3594952293013235,64,498.3392686843872,88.51176130771637,0.5616582338706927,1.3223590124143476,0.8603120895578528,0.2701880711863957,complete
reserve,Descurainia sophia,unresolved_photo_state,False,False,0.2923456790123457,100,924.8531832885742,41.27828884124756,0.25689302465959296,13.768218888799977,0.3449676847473003,0.8595124693216795,complete
reserve,Dichelostemma multiflorum,local_cooccurrence_only,True,False,0.3168854685378,93,644.6641737414944,78.22866160895235,0.3930075238800862,1.0611775226646896,0.563244153621718,0.6216106817157873,complete
reserve,Diplacus puniceus,local_cooccurrence_only,True,False,0.3513313609467455,42,404.0216820126488,92.13932327997117,0.1353329606560436,0.12805331842404172,0.10206103452987914,0.5094588398831905,complete
reserve,Drosera macrantha,local_cooccurrence_only,True,False,0.3702385190459237,86,460.0027810030205,63.06900348219761,1.000707370360761,0.6379350785880966,1.1863073243672202,0.21154268410023952,complete
reserve,Erica tetralix,unresolved_photo_state,False,False,0.6364014993752602,100,514.3765213012696,24.92428593635559,0.8115723000243575,4.010938927299588,0.6166605289939723,0.5582288686989262,complete
reserve,Erigeron speciosus,local_cooccurrence_only,True,False,0.4653835104854926,100,796.6921133422852,32.5254909324646,0.19829749330462243,3.2890275135162446,,,complete
reserve,Erodium cicutarium,unresolved_photo_state,False,False,0.5907372400756143,100,687.1986167907714,46.20692624092102,0.3547626621295845,19.272398002816644,0.5485830326042697,0.6656357281950426,complete
