species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho
Oxalis violacea,50,0.6232,0.24,True,True,-3.6549693286776375e-05
Oxytropis campestris,45,0.4612345679012345,0.15555555555555556,True,False,0.0809348233126851
Papaver dubium,44,0.5619834710743802,0.36363636363636365,True,True,-0.0844049854192041
Parthenium confertum,82,0.024092801903628835,0.012195121951219513,False,False,-0.0420626241610061
Passiflora mixta,41,0.3367043426531826,0.0975609756097561,False,False,0.2756552539090194
Pectis multiseta,82,0.0,0.0,False,False,0.0222132281357455
Pectis papposa,79,0.0,0.0,False,False,0.0286546876292991
Penstemon speciosus,60,0.032777777777777795,0.016666666666666666,False,False,-4.045097322298678e-05
Pentanema squarrosum,42,0.046485260770975145,0.023809523809523808,False,False,-0.044258109322273
Persicaria nepalensis,61,0.29185702768073096,0.06557377049180328,False,False,0.0462394347280438
Persicaria pensylvanica,72,0.13155864197530864,0.041666666666666664,False,False,0.0914112673677708
Phlomoides tuberosa,63,0.3764172335600906,0.1111111111111111,True,False,0.0268611972782782
Phlox diffusa,78,0.2287968441814595,0.10256410256410256,True,False,0.0690531614119173
Phlox longifolia,71,0.4784764927593732,0.23943661971830985,True,True,0.0515831089388633
Phlox roemeriana,63,0.3335852859662385,0.19047619047619047,True,False,0.1075257943477861
Pimelea serpyllifolia,53,0.30615877536489844,0.18867924528301888,True,False,0.1749094560933512
Pinguicula vulgaris,56,0.25765306122448983,0.07142857142857142,False,False,0.0567773500045777
Piqueria trinervia,69,0.02856542743121193,0.014492753623188406,False,False,-0.0152849628448943
Pittosporum revolutum,41,0.1356335514574658,0.07317073170731707,False,False,-0.0437249078115508
Plantago media,52,0.14201183431952646,0.07692307692307693,False,False,-0.0289204136131399
Polycalymma stuartii,76,0.3168282548476453,0.19736842105263158,True,False,0.0138955547392107
Polygala comosa,43,0.3796646836127636,0.16279069767441862,True,False,-0.0065245041627816
Portulaca suffrutescens,58,0.24732461355529134,0.06896551724137931,False,False,0.0758892945074444
Potentilla concinna,82,0.04788816180844746,0.012195121951219513,False,False,-0.028449482477481
Potentilla indica,45,0.339753086419753,0.13333333333333333,True,False,0.0510194964362691
Potentilla simplex,75,0.05191111111111102,0.02666666666666667,False,False,0.1350999641531965
Primula elatior,58,0.4851367419738407,0.41379310344827586,True,True,0.0118165717198231
Prunus mahaleb,52,0.07396449704142016,0.038461538461538464,False,False,0.0564998770197883
Pseudo-fumaria lutea,68,0.028979238754325065,0.014705882352941176,False,False,-0.0924147626143919
Pseudognaphalium affine,82,0.07049375371802502,0.036585365853658534,False,False,-0.0481833633839168
Pulmonaria obscura,47,0.4092349479402445,0.1702127659574468,True,False,0.0048705501341436
Pultenaea villosa,65,0.030295857988165587,0.015384615384615385,False,False,0.0252033991649782
Purshia stansburyana,48,0.32986111111111116,0.20833333333333334,True,True,0.1308186828062827
Pycnanthemum virginianum,85,0.04595155709342569,0.023529411764705882,False,False,-0.0423683183221087
Pyrola elliptica,44,0.0,0.0,False,False,0.0685497355915716
Ranunculus kuepferi,79,0.07306521390802745,0.0379746835443038,False,False,0.0601795587338429
Ranunculus lyallii,70,0.08204081632653049,0.04285714285714286,False,False,0.0669423589179936
