species,inat_taxon_id,total_metadata_records,occupied_cells,cells_ge_2,cells_ge_3,max_records_in_cell,median_records_per_occupied_cell,metadata_rank
Dimerocostus strobilaceus,346186,1,1,0,0,1,1.0,5185
Crocus cartwrightianus,346198,1,1,0,0,1,1.0,5186
Copernicia alba,346357,1,1,0,0,1,1.0,5187
Dillenia suffruticosa,346360,1,1,0,0,1,1.0,5188
Careya arborea,346363,1,1,0,0,1,1.0,5189
Kaempferia galanga,346606,1,1,0,0,1,1.0,5190
Jurinea moschus,346790,1,1,0,0,1,1.0,5191
Centotheca lappacea,346870,1,1,0,0,1,1.0,5192
Viola magellanica,346966,1,1,0,0,1,1.0,5193
Ceratocapnos claviculata,347010,1,1,0,0,1,1.0,5194
Papaver atlanticum,347013,1,1,0,0,1,1.0,5195
Oxalis semiloba,347301,1,1,0,0,1,1.0,5196
Sibthorpia peregrina,347324,1,1,0,0,1,1.0,5197
Pachystachys coccinea,347381,1,1,0,0,1,1.0,5198
Alchemilla argyrophylla,347399,1,1,0,0,1,1.0,5199
Alyxia stellata,347641,1,1,0,0,1,1.0,5200
Justicia gendarussa,347670,1,1,0,0,1,1.0,5201
Dicerocaryum senecioides,347700,1,1,0,0,1,1.0,5202
Ipomoea crassipes,347798,1,1,0,0,1,1.0,5203
Aloe vaombe,347900,1,1,0,0,1,1.0,5204
Limonium virgatum,348004,1,1,0,0,1,1.0,5205
Pterocarpus indicus,348101,1,1,0,0,1,1.0,5206
Sindora siamensis,348103,1,1,0,0,1,1.0,5207
Duabanga grandiflora,348109,1,1,0,0,1,1.0,5208
Nepenthes maxima,348339,1,1,0,0,1,1.0,5209
Combretum grandiflorum,348391,1,1,0,0,1,1.0,5210
Nepenthes tobaica,348392,1,1,0,0,1,1.0,5211
Lepidaploa borinquensis,348441,1,1,0,0,1,1.0,5212
Passiflora serratodigitata,348471,1,1,0,0,1,1.0,5213
Psiguria pedata,348486,1,1,0,0,1,1.0,5214
Urtica pilulifera,348964,1,1,0,0,1,1.0,5215
Pittosporum angustifolium,349255,1,1,0,0,1,1.0,5216
Vernonia galamensis,349340,1,1,0,0,1,1.0,5217
Cleome hirta,349759,1,1,0,0,1,1.0,5218
Muehlenbeckia axillaris,349797,1,1,0,0,1,1.0,5219
Leptospermum continentale,353876,1,1,0,0,1,1.0,5220
Phyllanthus hirtellus,353885,1,1,0,0,1,1.0,5221
Schelhammera undulata,353887,1,1,0,0,1,1.0,5222
Westringia fruticosa,353888,1,1,0,0,1,1.0,5223
Gratiola peruviana,353896,1,1,0,0,1,1.0,5224
Alyxia buxifolia,353914,1,1,0,0,1,1.0,5225
Mirbelia rubiifolia,353915,1,1,0,0,1,1.0,5226
Senecio pinnatifolius,353931,1,1,0,0,1,1.0,5227
Thysanotus juncifolius,353956,1,1,0,0,1,1.0,5228
Pittosporum revolutum,353972,1,1,0,0,1,1.0,5229
Limoniastrum monopetalum,354566,1,1,0,0,1,1.0,5230
Aquilegia pyrenaica,354768,1,1,0,0,1,1.0,5231
Pedalium murex,355383,1,1,0,0,1,1.0,5232
Elytraria acaulis,355845,1,1,0,0,1,1.0,5233
Protea repens,355849,1,1,0,0,1,1.0,5234
Parsonsia straminea,356107,1,1,0,0,1,1.0,5235
Hydrocleys martii,356212,1,1,0,0,1,1.0,5236
Clematis apiifolia,357428,1,1,0,0,1,1.0,5237
Ehretia microphylla,357658,1,1,0,0,1,1.0,5238
Coula edulis,357768,1,1,0,0,1,1.0,5239
Gmelina philippensis,357857,1,1,0,0,1,1.0,5240
Micranthes lyallii,357929,1,1,0,0,1,1.0,5241
Epidendrum fulgens,358033,1,1,0,0,1,1.0,5242
Amorphophallus abyssinicus,358066,1,1,0,0,1,1.0,5243
Lobelia leschenaultiana,358074,1,1,0,0,1,1.0,5244
Penstemon tubaeflorus,359177,1,1,0,0,1,1.0,5245
Sium latifolium,359459,1,1,0,0,1,1.0,5246
Bupleurum tenuissimum,359482,1,1,0,0,1,1.0,5247
Trinia glauca,359483,1,1,0,0,1,1.0,5248
Physaria arenosa,359556,1,1,0,0,1,1.0,5249
Physaria arctica,359557,1,1,0,0,1,1.0,5250
Eutrema salsugineum,359559,1,1,0,0,1,1.0,5251
Cardamine umbellata,359566,1,1,0,0,1,1.0,5252
Physaria ovalifolia,359599,1,1,0,0,1,1.0,5253
Nepsera aquatica,359841,1,1,0,0,1,1.0,5254
Adonis volgensis,359878,1,1,0,0,1,1.0,5255
Aerides odorata,360257,1,1,0,0,1,1.0,5256
Flagellaria indica,360343,1,1,0,0,1,1.0,5257
Primula cortusoides,361292,1,1,0,0,1,1.0,5258
Tragopogon orientalis,361312,1,1,0,0,1,1.0,5259
Crocosmia aurea,361354,1,1,0,0,1,1.0,5260
Crocosmia pottsii,361360,1,1,0,0,1,1.0,5261
Chassalia curviflora,361659,1,1,0,0,1,1.0,5262
Lobelia stricta,361799,1,1,0,0,1,1.0,5263
Maesobotrya barteri,361967,1,1,0,0,1,1.0,5264
Alocasia odora,362126,1,1,0,0,1,1.0,5265
Hydrangea aspera,362150,1,1,0,0,1,1.0,5266
Viburnum erubescens,362881,1,1,0,0,1,1.0,5267
Dypsis baronii,362933,1,1,0,0,1,1.0,5268
Callicarpa candicans,363301,1,1,0,0,1,1.0,5269
Dianthus hyssopifolius,363514,1,1,0,0,1,1.0,5270
Angraecum conchoglossum,363615,1,1,0,0,1,1.0,5271
Calamus australis,364967,1,1,0,0,1,1.0,5272
Euterpe precatoria,365243,1,1,0,0,1,1.0,5273
Hyospathe elegans,365399,1,1,0,0,1,1.0,5274
Phoenix pusilla,365731,1,1,0,0,1,1.0,5275
Sterculia lanceolata,366217,1,1,0,0,1,1.0,5276
Epipogium aphyllum,366363,1,1,0,0,1,1.0,5277
Gymnadenia densiflora,366369,1,1,0,0,1,1.0,5278
Oldenlandia herbacea,366505,1,1,0,0,1,1.0,5279
Coprosma perpusilla,366655,1,1,0,0,1,1.0,5280
Coprosma robusta,366661,1,1,0,0,1,1.0,5281
Dracophyllum strictum,366672,1,1,0,0,1,1.0,5282
Geniostoma rupestre,366685,1,1,0,0,1,1.0,5283
Olearia rani,366693,1,1,0,0,1,1.0,5284
Olearia virgata,366694,1,1,0,0,1,1.0,5285
Rhabdothamnus solandri,366711,1,1,0,0,1,1.0,5286
Angraecum sesquipedale,366790,1,1,0,0,1,1.0,5287
Megistostegium microphyllum,366848,1,1,0,0,1,1.0,5288
Gaultheria mucronata,366916,1,1,0,0,1,1.0,5289
Hesperantha coccinea,367209,1,1,0,0,1,1.0,5290
Leucocoryne ixioides,367272,1,1,0,0,1,1.0,5291
Akebia trifoliata,367374,1,1,0,0,1,1.0,5292
Syncolostemon madagascariensis,367428,1,1,0,0,1,1.0,5293
Sarcolaena oblongifolia,367898,1,1,0,0,1,1.0,5294
Agarista buxifolia,367910,1,1,0,0,1,1.0,5295
Antherotoma naudinii,367914,1,1,0,0,1,1.0,5296
Jasminum didymum,369291,1,1,0,0,1,1.0,5297
Utricularia aurea,369298,1,1,0,0,1,1.0,5298
Melaleuca fluviatilis,369324,1,1,0,0,1,1.0,5299
Acacia maidenii,369338,1,1,0,0,1,1.0,5300
Acacia leptostachya,369348,1,1,0,0,1,1.0,5301
Tabernaemontana pandacaqui,369351,1,1,0,0,1,1.0,5302
Olea paniculata,369380,1,1,0,0,1,1.0,5303
Caladenia fuscata,369421,1,1,0,0,1,1.0,5304
Corybas aconitiflorus,369422,1,1,0,0,1,1.0,5305
Ficus copiosa,369423,1,1,0,0,1,1.0,5306
Ficus hispida,369426,1,1,0,0,1,1.0,5307
Terminalia microcarpa,369438,1,1,0,0,1,1.0,5308
Grevillea pteridifolia,369442,1,1,0,0,1,1.0,5309
Mitrasacme pygmaea,369488,1,1,0,0,1,1.0,5310
Acacia spirorbis,369520,1,1,0,0,1,1.0,5311
Ranunculus lappaceus,369571,1,1,0,0,1,1.0,5312
Proiphys amboinensis,369594,1,1,0,0,1,1.0,5313
Ipomoea mauritiana,369601,1,1,0,0,1,1.0,5314
Coronidium lanuginosum,369668,1,1,0,0,1,1.0,5315
Sporobolus africanus,369711,1,1,0,0,1,1.0,5316
Erythrina vespertilio,369714,1,1,0,0,1,1.0,5317
Alloteropsis semialata,369723,1,1,0,0,1,1.0,5318
Chionanthus ramiflorus,369772,1,1,0,0,1,1.0,5319
Baloghia inophylla,369778,1,1,0,0,1,1.0,5320
Croton insularis,369789,1,1,0,0,1,1.0,5321
Turraea pubescens,369882,1,1,0,0,1,1.0,5322
Acronychia laevis,369885,1,1,0,0,1,1.0,5323
Glinus oppositifolius,369890,1,1,0,0,1,1.0,5324
Melicope elleryana,369907,1,1,0,0,1,1.0,5325
Commelina ensifolia,369956,1,1,0,0,1,1.0,5326
Murdannia graminea,369959,1,1,0,0,1,1.0,5327
Hypoestes floribunda,369988,1,1,0,0,1,1.0,5328
Leucas lavandulifolia,369989,1,1,0,0,1,1.0,5329
Leucas zeylanica,369990,1,1,0,0,1,1.0,5330
Crotalaria calycina,369994,1,1,0,0,1,1.0,5331
Blainvillea gayana,370006,1,1,0,0,1,1.0,5332
Aleurites moluccanus,370011,1,1,0,0,1,1.0,5333
Pterocaulon serrulatum,370041,1,1,0,0,1,1.0,5334
Crotalaria brevis,370044,1,1,0,0,1,1.0,5335
Dendrolobium umbellatum,370052,1,1,0,0,1,1.0,5336
Mackinlaya macrosciadea,370080,1,1,0,0,1,1.0,5337
Cyperus cyperoides,370159,1,1,0,0,1,1.0,5338
Abutilon guineense,370162,1,1,0,0,1,1.0,5339
Maclura cochinchinensis,370175,1,1,0,0,1,1.0,5340
Dodonaea lanceolata,370208,1,1,0,0,1,1.0,5341
Dendrophthoe homoplastica,370417,1,1,0,0,1,1.0,5342
Amyema sanguinea,370469,1,1,0,0,1,1.0,5343
Erycibe coccinea,370495,1,1,0,0,1,1.0,5344
Polymeria calycina,370497,1,1,0,0,1,1.0,5345
Sloanea langii,370559,1,1,0,0,1,1.0,5346
Rostellularia adscendens,370569,1,1,0,0,1,1.0,5347
Hedraianthera porphyropetala,370588,1,1,0,0,1,1.0,5348
Pterostylis grandiflora,370788,1,1,0,0,1,1.0,5349
Caragana pygmaea,371078,1,1,0,0,1,1.0,5350
Caragana versicolor,371079,1,1,0,0,1,1.0,5351
Jodina rhombifolia,371182,1,1,0,0,1,1.0,5352
Aristolochia debilis,371228,1,1,0,0,1,1.0,5353
Buddleja globosa,371666,1,1,0,0,1,1.0,5354
Specklinia grobyi,371710,1,1,0,0,1,1.0,5355
Brugmansia insignis,371794,1,1,0,0,1,1.0,5356
Moehringia trinervia,371857,1,1,0,0,1,1.0,5357
Sisymbrium volgense,371908,1,1,0,0,1,1.0,5358
Callicarpa japonica,371978,1,1,0,0,1,1.0,5359
Limonium sinense,372030,1,1,0,0,1,1.0,5360
Dischidia nummularia,372044,1,1,0,0,1,1.0,5361
Thapsia transtagana,372731,1,1,0,0,1,1.0,5362
Anisotome aromatica,380697,1,1,0,0,1,1.0,5363
Chiloglottis valida,380755,1,1,0,0,1,1.0,5364
Crassula colorata,380776,1,1,0,0,1,1.0,5365
Cryptandra amara,380779,1,1,0,0,1,1.0,5366
Geranium sessiliflorum,381098,1,1,0,0,1,1.0,5367
Acaena inermis,399298,1,1,0,0,1,1.0,5368
Acianthus sinclairii,399314,1,1,0,0,1,1.0,5369
Aciphylla squarrosa,399355,1,1,0,0,1,1.0,5370
Alseuosmia macrophylla,399483,1,1,0,0,1,1.0,5371
Anisotome pilifera,399588,1,1,0,0,1,1.0,5372
Astelia solandri,399795,1,1,0,0,1,1.0,5373
Brachyglottis laxifolia,400068,1,1,0,0,1,1.0,5374
Brachyscome radicata,400100,1,1,0,0,1,1.0,5375
Calandrinia menziesii,400267,1,1,0,0,1,1.0,5376
Caltha introloba,400312,1,1,0,0,1,1.0,5377
Cardamine glacialis,400378,1,1,0,0,1,1.0,5378
Carex geminata,400426,1,1,0,0,1,1.0,5379
Carex trifida,400447,1,1,0,0,1,1.0,5380
Carmichaelia odorata,400485,1,1,0,0,1,1.0,5381
Celmisia walkeri,400606,1,1,0,0,1,1.0,5382
Coriaria sarmentosa,401056,1,1,0,0,1,1.0,5383
Corybas oblongus,401076,1,1,0,0,1,1.0,5384
Corybas macranthus,401085,1,1,0,0,1,1.0,5385
Crassula sarmentosa,401162,1,1,0,0,1,1.0,5386
Dendrobium cunninghamii,401303,1,1,0,0,1,1.0,5387
Delphinium ajacis,401314,1,1,0,0,1,1.0,5388
Dracophyllum sinclairii,401516,1,1,0,0,1,1.0,5389
Dracophyllum filifolium,401535,1,1,0,0,1,1.0,5390
Dracophyllum verticillatum,401547,1,1,0,0,1,1.0,5391
Drosera stenopetala,401564,1,1,0,0,1,1.0,5392
Drymoanthus adversus,401567,1,1,0,0,1,1.0,5393
Earina aestivalis,401592,1,1,0,0,1,1.0,5394
Eomecon chionantha,401662,1,1,0,0,1,1.0,5395
Epilobium confertifolium,401677,1,1,0,0,1,1.0,5396
Epilobium pubens,401693,1,1,0,0,1,1.0,5397
Gentianella cerina,402053,1,1,0,0,1,1.0,5398
Gentianella vernicosa,402071,1,1,0,0,1,1.0,5399
Geranium microphyllum,402073,1,1,0,0,1,1.0,5400
Glossostigma elatinoides,402125,1,1,0,0,1,1.0,5401
Gonocarpus aggregatus,402163,1,1,0,0,1,1.0,5402
Hoheria lyallii,402527,1,1,0,0,1,1.0,5403
Hydrocotyle elongata,402569,1,1,0,0,1,1.0,5404
Impatiens niamniamensis,402783,1,1,0,0,1,1.0,5405
Juncus scheuchzerioides,402867,1,1,0,0,1,1.0,5406
Lachnagrostis billardierei,402956,1,1,0,0,1,1.0,5407
Lampranthus glaucus,402978,1,1,0,0,1,1.0,5408
Lampranthus spectabilis,402984,1,1,0,0,1,1.0,5409
Leonotis ocymifolia,403274,1,1,0,0,1,1.0,5410
Leptinella potentillina,403370,1,1,0,0,1,1.0,5411
Libertia micrantha,403453,1,1,0,0,1,1.0,5412
Luzula crinita,403631,1,1,0,0,1,1.0,5413
Melicytus chathamicus,403831,1,1,0,0,1,1.0,5414
Metrosideros parkinsonii,403883,1,1,0,0,1,1.0,5415
Micrargeria filiformis,403900,1,1,0,0,1,1.0,5416
Microtis arenaria,403926,1,1,0,0,1,1.0,5417
Microtis oligantha,403943,1,1,0,0,1,1.0,5418
Myosotis persoonii,404034,1,1,0,0,1,1.0,5419
Myrsine chathamica,404048,1,1,0,0,1,1.0,5420
Nertera depressa,404185,1,1,0,0,1,1.0,5421
Oenothera indecora,404243,1,1,0,0,1,1.0,5422
Olearia cheesemanii,404266,1,1,0,0,1,1.0,5423
Passiflora pinnatistipula,404668,1,1,0,0,1,1.0,5424
Piptanthus nepalensis,404898,1,1,0,0,1,1.0,5425
Piper excelsum,404899,1,1,0,0,1,1.0,5426
Pomaderris amoena,405184,1,1,0,0,1,1.0,5427
Protea subvestita,405256,1,1,0,0,1,1.0,5428
Pterostylis graminea,405417,1,1,0,0,1,1.0,5429
Pterostylis patens,405436,1,1,0,0,1,1.0,5430
Pterostylis montana,405440,1,1,0,0,1,1.0,5431
Ranunculus biternatus,405563,1,1,0,0,1,1.0,5432
Ranunculus haastii,405572,1,1,0,0,1,1.0,5433
Ranunculus multiscapus,405585,1,1,0,0,1,1.0,5434
Rubus parvus,405760,1,1,0,0,1,1.0,5435
Rumex sagittatus,405771,1,1,0,0,1,1.0,5436
Salix phylicifolia,405808,1,1,0,0,1,1.0,5437
Salvia repens,405816,1,1,0,0,1,1.0,5438
Sparaxis bulbifera,406109,1,1,0,0,1,1.0,5439
Stellaria roughii,406186,1,1,0,0,1,1.0,5440
Tetradenia riparia,406462,1,1,0,0,1,1.0,5441
Thelymitra pulchella,406513,1,1,0,0,1,1.0,5442
Thelymitra colensoi,406516,1,1,0,0,1,1.0,5443
Thelymitra nervosa,406520,1,1,0,0,1,1.0,5444
Thunbergia coccinea,406533,1,1,0,0,1,1.0,5445
Trifolium ambiguum,406660,1,1,0,0,1,1.0,5446
Tropaeolum speciosum,406706,1,1,0,0,1,1.0,5447
Ursinia anthemoides,406772,1,1,0,0,1,1.0,5448
Vittadinia australis,406978,1,1,0,0,1,1.0,5449
Nothofagus antarctica,407502,1,1,0,0,1,1.0,5450
Leptecophylla robusta,407530,1,1,0,0,1,1.0,5451
Acaena anserinifolia,409167,1,1,0,0,1,1.0,5452
Leucopogon fasciculatus,409552,1,1,0,0,1,1.0,5453
Wahlenbergia violacea,410166,1,1,0,0,1,1.0,5454
Erica baccans,410256,1,1,0,0,1,1.0,5455
Muellerina celastroides,410296,1,1,0,0,1,1.0,5456
Leptospermum javanicum,410458,1,1,0,0,1,1.0,5457
Alstroemeria aurea,410471,1,1,0,0,1,1.0,5458
Reinwardtia indica,410705,1,1,0,0,1,1.0,5459
Protea neriifolia,410762,1,1,0,0,1,1.0,5460
Phylica plumosa,410877,1,1,0,0,1,1.0,5461
Calceolaria integrifolia,410941,1,1,0,0,1,1.0,5462
Viola banksii,410980,1,1,0,0,1,1.0,5463
Grevillea lavandulacea,411227,1,1,0,0,1,1.0,5464
Grevillea alpina,411301,1,1,0,0,1,1.0,5465
Satyrium amoenum,415192,1,1,0,0,1,1.0,5466
Philotheca spicata,415330,1,1,0,0,1,1.0,5467
Isopogon sphaerocephalus,415332,1,1,0,0,1,1.0,5468
Hypocalymma robustum,415333,1,1,0,0,1,1.0,5469
Habenaria cuevasiana,415366,1,1,0,0,1,1.0,5470
Platanthera minor,415388,1,1,0,0,1,1.0,5471
Aponogeton desertorum,415485,1,1,0,0,1,1.0,5472
Eulophia reticulata,415548,1,1,0,0,1,1.0,5473
Pelargonium cordifolium,415895,1,1,0,0,1,1.0,5474
Pimelea microcephala,416361,1,1,0,0,1,1.0,5475
Ixeridium dentatum,416650,1,1,0,0,1,1.0,5476
Caladenia cairnsiana,416789,1,1,0,0,1,1.0,5477
Pterostylis sanguinea,416798,1,1,0,0,1,1.0,5478
Hirtella paniculata,416817,1,1,0,0,1,1.0,5479
Erica manipuliflora,416824,1,1,0,0,1,1.0,5480
Libertia paniculata,417785,1,1,0,0,1,1.0,5481
Malva pusilla,418222,1,1,0,0,1,1.0,5482
Watsonia aletroides,418537,1,1,0,0,1,1.0,5483
Lachenalia carnosa,418545,1,1,0,0,1,1.0,5484
Ranunculus bullatus,418587,1,1,0,0,1,1.0,5485
Goodenia robusta,421568,1,1,0,0,1,1.0,5486
Scaevola calliptera,421574,1,1,0,0,1,1.0,5487
Coopernookia barbata,421595,1,1,0,0,1,1.0,5488
Goodenia humilis,421614,1,1,0,0,1,1.0,5489
Ajania pacifica,421618,1,1,0,0,1,1.0,5490
Cyrtorchis arcuata,423583,1,1,0,0,1,1.0,5491
Thelionema caespitosum,423671,1,1,0,0,1,1.0,5492
Senecio bonariensis,424094,1,1,0,0,1,1.0,5493
Tillandsia purpurea,424323,1,1,0,0,1,1.0,5494
Dichaetanthera cordifolia,424345,1,1,0,0,1,1.0,5495
Thymus camphoratus,424497,1,1,0,0,1,1.0,5496
Drosera auriculata,424565,1,1,0,0,1,1.0,5497
Stictocardia mojangensis,424879,1,1,0,0,1,1.0,5498
Eremophila alternifolia,424948,1,1,0,0,1,1.0,5499
Anticlea occidentalis,425083,1,1,0,0,1,1.0,5500
Capparis decidua,425141,1,1,0,0,1,1.0,5501
Glandora prostrata,425378,1,1,0,0,1,1.0,5502
Pavetta hongkongensis,425417,1,1,0,0,1,1.0,5503
Syzygium buxifolium,425426,1,1,0,0,1,1.0,5504
Buchanania arborescens,425525,1,1,0,0,1,1.0,5505
Burmannia coelestis,425533,1,1,0,0,1,1.0,5506
Dendrobium secundum,425581,1,1,0,0,1,1.0,5507
Rhynchostylis gigantea,425778,1,1,0,0,1,1.0,5508
Xylocarpus rumphii,425826,1,1,0,0,1,1.0,5509
Capparis aegyptia,425979,1,1,0,0,1,1.0,5510
Crassula fascicularis,426191,1,1,0,0,1,1.0,5511
Leucadendron rubrum,426201,1,1,0,0,1,1.0,5512
Chironia baccifera,426224,1,1,0,0,1,1.0,5513
Turraea obtusifolia,426287,1,1,0,0,1,1.0,5514
Typhonium trilobatum,426297,1,1,0,0,1,1.0,5515
Willughbeia tenuiflora,426369,1,1,0,0,1,1.0,5516
Phyllagathis rotundifolia,426417,1,1,0,0,1,1.0,5517
Plumbago indica,426446,1,1,0,0,1,1.0,5518
Portulaca quadrifida,426476,1,1,0,0,1,1.0,5519
Reissantia indica,426544,1,1,0,0,1,1.0,5520
Rotheca serrata,426567,1,1,0,0,1,1.0,5521
Ruttya fruticosa,426578,1,1,0,0,1,1.0,5522
Salomonia cantoniensis,426587,1,1,0,0,1,1.0,5523
Scleria terrestris,426638,1,1,0,0,1,1.0,5524
Scyphiphora hydrophylacea,426640,1,1,0,0,1,1.0,5525
Tetrapleura tetraptera,426816,1,1,0,0,1,1.0,5526
Torenia polygonoides,426849,1,1,0,0,1,1.0,5527
Impatiens repens,426920,1,1,0,0,1,1.0,5528
Lantana indica,426981,1,1,0,0,1,1.0,5529
Madhuca longifolia,427116,1,1,0,0,1,1.0,5530
Micrococca mercurialis,427193,1,1,0,0,1,1.0,5531
Murdannia bracteata,427213,1,1,0,0,1,1.0,5532
Mundulea sericea,427214,1,1,0,0,1,1.0,5533
Mucuna bennettii,427215,1,1,0,0,1,1.0,5534
Oxyceros longiflorus,427291,1,1,0,0,1,1.0,5535
Pancratium zeylanicum,427306,1,1,0,0,1,1.0,5536
Passiflora amethystina,427340,1,1,0,0,1,1.0,5537
Pentaphragma ellipticum,427351,1,1,0,0,1,1.0,5538
Psychotria asiatica,427363,1,1,0,0,1,1.0,5539
Crinum jagus,427395,1,1,0,0,1,1.0,5540
Cryptostylis arachnites,427408,1,1,0,0,1,1.0,5541
Decaspermum fruticosum,427454,1,1,0,0,1,1.0,5542
Dichorisandra thyrsiflora,427503,1,1,0,0,1,1.0,5543
Erechtites valerianifolius,427608,1,1,0,0,1,1.0,5544
Firmiana malayana,427677,1,1,0,0,1,1.0,5545
Floscopa scandens,427685,1,1,0,0,1,1.0,5546
Grevillea dryandri,427757,1,1,0,0,1,1.0,5547
Gymnanthemum amygdalinum,427768,1,1,0,0,1,1.0,5548
Heliconia indica,427794,1,1,0,0,1,1.0,5549
Adenostemma brasilianum,427843,1,1,0,0,1,1.0,5550
Amorphophallus variabilis,427895,1,1,0,0,1,1.0,5551
Archidendron lucidum,427929,1,1,0,0,1,1.0,5552
Baeckea frutescens,427988,1,1,0,0,1,1.0,5553
Baphia massaiensis,427989,1,1,0,0,1,1.0,5554
Barringtonia macrostachya,427991,1,1,0,0,1,1.0,5555
Barringtonia scortechinii,427998,1,1,0,0,1,1.0,5556
Blainvillea acmella,428015,1,1,0,0,1,1.0,5557
Peponidium horridum,428110,1,1,0,0,1,1.0,5558
Ziziphus jujuba,428365,1,1,0,0,1,1.0,5559
Olearia axillaris,428475,1,1,0,0,1,1.0,5560
Chlorophytum laxum,428703,1,1,0,0,1,1.0,5561
Combretum comosum,428705,1,1,0,0,1,1.0,5562
Adenia olaboensis,428772,1,1,0,0,1,1.0,5563
Eryngium paniculatum,428955,1,1,0,0,1,1.0,5564
Dalea boliviana,428995,1,1,0,0,1,1.0,5565
Eulophia latilabris,429304,1,1,0,0,1,1.0,5566
Crinum macowanii,429305,1,1,0,0,1,1.0,5567
Uncarina decaryi,429333,1,1,0,0,1,1.0,5568
Cinnamosma madagascariensis,429346,1,1,0,0,1,1.0,5569
Terminalia tricristata,429416,1,1,0,0,1,1.0,5570
Anisacanthus nicaraguensis,429495,1,1,0,0,1,1.0,5571
Rheum nobile,429558,1,1,0,0,1,1.0,5572
Balanophora papuana,429572,1,1,0,0,1,1.0,5573
Balanophora latisepala,429574,1,1,0,0,1,1.0,5574
Thismia angustimitra,429653,1,1,0,0,1,1.0,5575
Thismia panamensis,429678,1,1,0,0,1,1.0,5576
Trochodendron aralioides,429716,1,1,0,0,1,1.0,5577
Brunsvigia bosmaniae,429914,1,1,0,0,1,1.0,5578
Asteriscus graveolens,430148,1,1,0,0,1,1.0,5579
Matelea variifolia,430186,1,1,0,0,1,1.0,5580
Catharanthus scitulus,430392,1,1,0,0,1,1.0,5581
Cenchrus latifolius,430577,1,1,0,0,1,1.0,5582
Acacia adoxa,430592,1,1,0,0,1,1.0,5583
Acacia iteaphylla,430599,1,1,0,0,1,1.0,5584
Aeschynanthus radicans,430622,1,1,0,0,1,1.0,5585
Anthurium scherzerianum,430667,1,1,0,0,1,1.0,5586
Biophytum sensitivum,430725,1,1,0,0,1,1.0,5587
Blepharocalyx salicifolius,430728,1,1,0,0,1,1.0,5588
Brownea macrophylla,430744,1,1,0,0,1,1.0,5589
Calliandra parvifolia,430769,1,1,0,0,1,1.0,5590
Calytrix exstipulata,430772,1,1,0,0,1,1.0,5591
Carissa carandas,430784,1,1,0,0,1,1.0,5592
Catalpa longissima,430790,1,1,0,0,1,1.0,5593
Cochliostema odoratissimum,430861,1,1,0,0,1,1.0,5594
Crinodendron patagua,430898,1,1,0,0,1,1.0,5595
Cuphea melvilla,430908,1,1,0,0,1,1.0,5596
Hylodesmum repandum,430937,1,1,0,0,1,1.0,5597
Dorstenia foetida,430962,1,1,0,0,1,1.0,5598
Erythrina amazonica,430984,1,1,0,0,1,1.0,5599
Eucomis autumnalis,430992,1,1,0,0,1,1.0,5600
Euodia hortensis,431001,1,1,0,0,1,1.0,5601
Firmiana colorata,431037,1,1,0,0,1,1.0,5602
Gossypium herbaceum,431070,1,1,0,0,1,1.0,5603
Grewia flavescens,431075,1,1,0,0,1,1.0,5604
Hibiscus panduriformis,431115,1,1,0,0,1,1.0,5605
Justicia adhatoda,431176,1,1,0,0,1,1.0,5606
Lobelia tupa,431237,1,1,0,0,1,1.0,5607
Medinilla speciosa,431300,1,1,0,0,1,1.0,5608
Nemesia fruticans,431366,1,1,0,0,1,1.0,5609
Pitcairnia maidifolia,431468,1,1,0,0,1,1.0,5610
Pseudobombax marginatum,431499,1,1,0,0,1,1.0,5611
Psychotria ankasensis,431506,1,1,0,0,1,1.0,5612
Ptaeroxylon obliquum,431512,1,1,0,0,1,1.0,5613
Puya alpestris,431518,1,1,0,0,1,1.0,5614
Uvaria siamensis,431533,1,1,0,0,1,1.0,5615
Salvia lanceolata,431586,1,1,0,0,1,1.0,5616
Seemannia purpurascens,431616,1,1,0,0,1,1.0,5617
Spondias tuberosa,431640,1,1,0,0,1,1.0,5618
Swartzia arborescens,431657,1,1,0,0,1,1.0,5619
Tacca palmata,431671,1,1,0,0,1,1.0,5620
Vandasina retusa,431722,1,1,0,0,1,1.0,5621
Vitex megapotamica,431726,1,1,0,0,1,1.0,5622
Woodfordia uniflora,431739,1,1,0,0,1,1.0,5623
Xanthostemon aurantiacus,431747,1,1,0,0,1,1.0,5624
Spiranthera odoratissima,431769,1,1,0,0,1,1.0,5625
Allium melanantherum,435437,1,1,0,0,1,1.0,5626
Angraecum bancoense,435657,1,1,0,0,1,1.0,5627
Aponogeton angustifolius,435797,1,1,0,0,1,1.0,5628
Costus villosissimus,436037,1,1,0,0,1,1.0,5629
Cyperus pulchellus,436125,1,1,0,0,1,1.0,5630
Cypripedium tibeticum,436170,1,1,0,0,1,1.0,5631
Desmostachya bipinnata,436201,1,1,0,0,1,1.0,5632
Eriocaulon stellulatum,436343,1,1,0,0,1,1.0,5633
Fimbristylis alboviridis,436373,1,1,0,0,1,1.0,5634
Lasimorpha senegalensis,436636,1,1,0,0,1,1.0,5635
Nechamandra alternifolia,436703,1,1,0,0,1,1.0,5636
Sacciolepis curvata,436983,1,1,0,0,1,1.0,5637
Tolumnia variegata,437088,1,1,0,0,1,1.0,5638
Arrojadoa penicillata,437300,1,1,0,0,1,1.0,5639
Astragalus macrocarpus,437321,1,1,0,0,1,1.0,5640
