edge_id,cell_i,cell_j,opportunities,transition_count,persistence,species_turnover_jsd_bits,candidate_n_i,candidate_n_j,species_n_i,species_n_j,shared_species,union_species,species_jaccard_similarity
104:122,104,122,200,9,0.045,0.8532144510497938,200,200,137,153,19,271,0.07011070110701106
105:106,105,106,200,1,0.005,0.7355993141456433,200,200,136,128,33,231,0.14285714285714285
105:123,105,123,200,34,0.17,0.8737261152128998,200,200,136,162,17,281,0.060498220640569395
106:107,106,107,200,200,1.0,0.8935725289882457,200,17,128,14,5,137,0.0364963503649635
106:124,106,124,200,200,1.0,0.9394236474886789,200,9,128,8,2,134,0.014925373134328358
107:125,107,125,0,0,,,17,0,14,0,0,14,0.0
108:109,108,109,200,106,0.53,0.896757102094588,14,200,10,118,4,124,0.03225806451612903
108:125,108,125,0,0,,,14,0,10,0,0,10,0.0
108:126,108,126,0,0,,,14,0,10,0,0,10,0.0
109:110,109,110,0,0,,,200,0,118,0,0,118,0.0
109:127,109,127,0,0,,,200,0,118,0,0,118,0.0
110:111,110,111,0,0,,,0,200,0,167,0,167,0.0
110:128,110,128,0,0,,,0,200,0,168,0,168,0.0
111:112,111,112,200,0,0.0,0.9558379118563117,200,200,167,166,7,326,0.02147239263803681
111:129,111,129,200,9,0.045,0.8902523553124363,200,200,167,173,16,324,0.04938271604938271
112:113,112,113,200,0,0.0,0.8646020953173655,200,200,166,154,20,300,0.06666666666666667
112:130,112,130,200,0,0.0,0.9503571482808272,200,200,166,146,7,305,0.022950819672131147
113:114,113,114,0,0,,,200,0,154,0,0,154,0.0
113:131,113,131,200,5,0.025,0.9189281667094815,200,200,154,142,12,284,0.04225352112676056
114:115,114,115,0,0,,,0,0,0,0,0,0,
114:132,114,132,0,0,,,0,200,0,95,0,95,0.0
115:116,115,116,0,0,,,0,200,0,160,0,160,0.0
115:133,115,133,0,0,,,0,200,0,93,0,93,0.0
116:117,116,117,200,31,0.155,0.9129086509365312,200,118,160,92,11,241,0.04564315352697095
116:134,116,134,200,0,0.0,0.9450134981472357,200,200,160,179,9,330,0.02727272727272727
117:118,117,118,200,64,0.32,0.9653771545126306,118,200,92,138,4,226,0.017699115044247787
117:135,117,135,200,93,0.465,0.9836301501285067,118,200,92,170,2,260,0.007692307692307693
118:119,118,119,200,12,0.06,0.9166439675928268,200,200,138,115,9,244,0.036885245901639344
118:136,118,136,200,3,0.015,0.9191463851270053,200,200,138,172,12,298,0.040268456375838924
119:120,119,120,200,72,0.36,0.8926458186364995,200,200,115,154,13,256,0.05078125
119:137,119,137,200,0,0.0,0.9717769598477994,200,200,115,162,4,273,0.014652014652014652
120:121,120,121,200,0,0.0,0.8594781745955636,200,200,154,176,22,308,0.07142857142857142
120:138,120,138,200,0,0.0,0.975208099286861,200,200,154,147,4,297,0.013468013468013467
121:122,121,122,200,3,0.015,0.9368525672124837,200,200,176,153,10,319,0.03134796238244514
121:139,121,139,200,11,0.055,0.974389383223091,200,200,176,148,4,320,0.0125
122:123,122,123,200,16,0.08,0.8748913682771514,200,200,153,162,18,297,0.06060606060606061
122:140,122,140,200,10,0.05,0.9795758694389796,200,200,153,165,3,315,0.009523809523809525
123:124,123,124,200,200,1.0,0.9817195573778084,200,9,162,8,1,169,0.005917159763313609
123:141,123,141,200,5,0.025,0.9488338532890715,200,200,162,131,8,285,0.028070175438596492
124:125,124,125,0,0,,,9,0,8,0,0,8,0.0
124:142,124,142,200,200,1.0,0.9999999999999991,9,200,8,131,0,139,0.0
125:143,125,143,0,0,,,0,0,0,0,0,0,
126:127,126,127,0,0,,,0,0,0,0,0,0,
126:143,126,143,0,0,,,0,0,0,0,0,0,
126:144,126,144,0,0,,,0,200,0,100,0,100,0.0
127:128,127,128,0,0,,,0,200,0,168,0,168,0.0
127:145,127,145,0,0,,,0,200,0,114,0,114,0.0
128:129,128,129,200,11,0.055,0.9155024810699782,200,200,168,173,12,329,0.0364741641337386
128:146,128,146,200,0,0.0,0.9158478285051915,200,200,168,124,11,281,0.03914590747330961
129:130,129,130,200,0,0.0,0.9636685709285053,200,200,173,146,5,314,0.01592356687898089
129:147,129,147,200,0,0.0,0.8951638426298969,200,200,173,133,14,292,0.04794520547945205
130:131,130,131,200,0,0.0,0.7215213959594184,200,200,146,142,37,251,0.14741035856573706
130:148,130,148,200,0,0.0,0.8955749447351115,200,200,146,120,12,254,0.047244094488188976
131:132,131,132,200,4,0.02,0.8292752457629415,200,200,142,95,19,218,0.0871559633027523
131:149,131,149,200,0,0.0,0.9827443253801712,200,200,142,67,2,207,0.00966183574879227
132:133,132,133,200,1,0.005,0.9634987717433955,200,200,95,93,4,184,0.021739130434782608
132:150,132,150,200,1,0.005,0.7878719521945422,200,200,95,100,19,176,0.10795454545454546
133:134,133,134,200,1,0.005,0.9256250727657691,200,200,93,179,10,262,0.03816793893129771
133:151,133,151,200,0,0.0,0.9577096507352039,200,200,93,86,3,176,0.017045454545454544
134:135,134,135,200,7,0.035,0.8871839415596448,200,200,179,170,18,331,0.054380664652567974
134:152,134,152,200,3,0.015,0.8477714642248134,200,200,179,115,21,273,0.07692307692307693
135:136,135,136,200,0,0.0,0.8091598518848462,200,200,170,172,29,313,0.0926517571884984
135:153,135,153,200,2,0.01,0.8178417408861606,200,200,170,149,26,293,0.08873720136518772
136:137,136,137,200,31,0.155,0.8098692289340592,200,200,172,162,27,307,0.08794788273615635
136:154,136,154,200,2,0.01,0.831801154124017,200,200,172,138,24,286,0.08391608391608392
137:138,137,138,200,0,0.0,0.901127409391052,200,200,162,147,13,296,0.04391891891891892
137:155,137,155,200,17,0.085,0.8465026196302335,200,200,162,150,21,291,0.07216494845360824
138:139,138,139,200,0,0.0,0.9066776508524772,200,200,147,148,11,284,0.03873239436619718
138:156,138,156,200,1,0.005,0.9165959881253708,200,200,147,133,10,270,0.037037037037037035
139:140,139,140,200,0,0.0,0.9119386700754787,200,200,148,165,13,300,0.043333333333333335
139:157,139,157,200,0,0.0,0.8287556879440056,200,200,148,149,24,273,0.08791208791208792
140:141,140,141,200,6,0.03,0.890803125077042,200,200,165,131,16,280,0.05714285714285714
140:158,140,158,200,0,0.0,0.8634916412357693,200,200,165,128,20,273,0.07326007326007326
141:142,141,142,200,0,0.0,0.7038992842662954,200,200,131,131,32,230,0.1391304347826087
141:159,141,159,200,1,0.005,0.924321318210814,200,200,131,106,9,228,0.039473684210526314
142:143,142,143,0,0,,,200,0,131,0,0,131,0.0
142:160,142,160,200,0,0.0,0.8155942003409504,200,200,131,121,20,232,0.08620689655172414
143:161,143,161,0,0,,,0,200,0,107,0,107,0.0
144:145,144,145,200,0,0.0,0.7062582769423573,200,200,100,114,28,186,0.15053763440860216
144:161,144,161,200,0,0.0,0.6140005634398347,200,200,100,107,38,169,0.22485207100591717
145:146,145,146,200,0,0.0,0.6453640772723455,200,200,114,124,38,200,0.19
146:147,146,147,200,2,0.01,0.7293238918492624,200,200,124,133,31,226,0.13716814159292035
147:148,147,148,200,0,0.0,0.767496323913139,200,200,133,120,26,227,0.1145374449339207
148:149,148,149,200,4,0.02,0.6568513444080712,200,200,120,67,27,160,0.16875
149:150,149,150,200,0,0.0,0.5250362449090624,200,200,67,100,36,131,0.2748091603053435
150:151,150,151,200,2,0.01,0.5648991491440196,200,200,100,86,40,146,0.273972602739726
151:152,151,152,200,0,0.0,0.8803200624496261,200,200,86,115,12,189,0.06349206349206349
152:153,152,153,200,0,0.0,0.6786901976505006,200,200,115,149,37,227,0.16299559471365638
153:154,153,154,200,0,0.0,0.6807713162249526,200,200,149,138,43,244,0.1762295081967213
154:155,154,155,200,0,0.0,0.6354805506983943,200,200,138,150,50,238,0.21008403361344538
155:156,155,156,200,0,0.0,0.7074943052795002,200,200,150,133,38,245,0.15510204081632653
156:157,156,157,200,0,0.0,0.665294765884034,200,200,133,149,45,237,0.189873417721519
157:158,157,158,200,2,0.01,0.7759089644792496,200,200,149,128,26,251,0.10358565737051793
158:159,158,159,200,0,0.0,0.704132059208006,200,200,128,106,33,201,0.16417910447761194
159:160,159,160,200,0,0.0,0.8371016249739638,200,200,106,121,17,210,0.08095238095238096
160:161,160,161,200,0,0.0,0.7216146972789396,200,200,121,107,30,198,0.15151515151515152
