priority_tier,rank,canonical_name,family,n_works,max_score,total_score,n_title_matches,n_context_matches,best_title,best_doi,best_openalex_id,best_match_evidence,review_status
B,165,Viola arvensis,Violaceae,1,17,17,1,1,Rapid evolution of selfing syndrome traits in Viola arvensis revealed by resurrection ecology,10.1002/ajb2.16028,https://openalex.org/W4289885371,"pollinator decline are expected to affect plant phenology and plant-pollinator interactions. This paper aims at characterizing rapid evolution of life history traits and floral traits over two decades in the wild pansy (Viola arvensis), a common weed in agrosystems. METHODS: We used a resurrection ecology approach with genotypes sampled in 1991 and 2012 from a population in Burgundy (France). The species has a mixed mating system (hereafter: mixed se",unreviewed
B,166,Echinacea purpurea,Asteraceae,1,15,15,1,0,Morphological characteristics and flavonoid accumulation of Echinacea purpurea cultivated at various salinity,10.13057/biodiv/d220915,https://openalex.org/W3197839747,Morphological characteristics and flavonoid accumulation of Echinacea purpurea cultivated at various salinity,unreviewed
B,167,Adenium obesum,Apocynaceae,2,13,25,1,1,Genetic inheritance and selection in desert rose progenies,,https://openalex.org/W7119330886,"The ornamental plant market thrives on novelty and, to meet demand, breeders seek new cultivars with floral attributes of color and shape that increase ornamental value. Adenium obesum, popularly known as desert rose, is a prominent plant in the recent floricultural scene. Understanding the genetic mechanism of development of morphological characters can contribute to screening parents and selection o",unreviewed
B,168,Centaurea cyanus,Asteraceae,2,13,25,1,1,Fe 3+ ‐Mediated Blue Pigment Formation via Collaborative Regulation of Iron Homeostasis by VIT1 and Ferritin : Insights for Blue Flower Breeding,10.1111/pce.70472,https://openalex.org/W7134835829,"ABSTRACT The bright blue colouration of Centaurea cyanus (cornflower) is attributed to a supramolecular pigment formed via metal ion chelation with accumulated cyanidin (Cy) and co‐pigments, yet the underlying genetic regulatory mechanisms remain incompletely understood. Eluc",unreviewed
B,169,Coffea liberica,Rubiaceae,1,13,13,1,0,Genome-wide DNA polymorphisms in two peatland adapted Coffea liberica varieties,10.1186/s12863-025-01305-6,https://openalex.org/W4407572752,Genome-wide DNA polymorphisms in two peatland adapted Coffea liberica varieties,unreviewed
B,170,Carthamus tinctorius,Asteraceae,2,12,22,1,1,Speed breeding advancements in safflower (Carthamus tinctorius L.): a simplified and efficient approach for accelerating breeding programs,10.1007/s11032-024-01530-4,https://openalex.org/W4406199517,Speed breeding advancements in safflower (Carthamus tinctorius L.): a simplified and efficient approach for accelerating breeding programs,unreviewed
B,171,Acer saccharum,Sapindaceae,1,12,12,1,0,Spatial genetic structure within three sugar maple (Acer saccharum Marsh.) stands,10.1038/hdy.1991.17,https://openalex.org/W2091418049,Spatial genetic structure within three sugar maple (Acer saccharum Marsh.) stands,unreviewed
B,172,Anemone davidii,Ranunculaceae,1,12,12,1,0,Population Structure and Prediction of Potential Suitable Areas of Anemone davidii Franch. (Ranunculaceae) from Southwestern China,10.3390/f17020207,https://openalex.org/W7127612203,Population Structure and Prediction of Potential Suitable Areas of Anemone davidii Franch. (Ranunculaceae) from Southwestern China,unreviewed
B,173,Anemone multifida,Ranunculaceae,1,12,12,1,0,Natural Selection and Neutral Evolution Jointly Drive Population Divergence between Alpine and Lowland Ecotypes of the Allopolyploid Plant Anemone multifida (Ranunculaceae),10.1371/journal.pone.0068889,https://openalex.org/W2026854783,Natural Selection and Neutral Evolution Jointly Drive Population Divergence between Alpine and Lowland Ecotypes of the Allopolyploid Plant Anemone multifida (Ranunculaceae),unreviewed
B,174,Argyreia mekongensis,Convolvulaceae,1,12,12,1,0,Near extinct Argyreia versicolor and rare Argyreia mekongensis are dependent on carpenter bee pollinators,10.1093/aobpla/plae001,https://openalex.org/W4390974280,Near extinct Argyreia versicolor and rare Argyreia mekongensis are dependent on carpenter bee pollinators,unreviewed
B,175,Argyreia versicolor,Convolvulaceae,1,12,12,1,0,Near extinct Argyreia versicolor and rare Argyreia mekongensis are dependent on carpenter bee pollinators,10.1093/aobpla/plae001,https://openalex.org/W4390974280,Near extinct Argyreia versicolor and rare Argyreia mekongensis are dependent on carpenter bee pollinators,unreviewed
B,176,Atherosperma moschatum,Atherospermataceae,1,12,12,1,0,The spatial genetic structure in natural populations of the Australian temperate rainforest tree Atherosperma moschatum (Labill.) (Monimiaceae),10.1038/hdy.1995.4,https://openalex.org/W2019239376,The spatial genetic structure in natural populations of the Australian temperate rainforest tree Atherosperma moschatum (Labill.) (Monimiaceae),unreviewed
B,177,Benincasa hispida,Cucurbitaceae,1,12,12,1,0,Metabolomic and Transcriptomic Analyses Reveal Association of Mature Fruit Pericarp Color Variation with Chlorophyll and Flavonoid Biosynthesis in Wax Gourd (Benincasa hispida),10.3390/agronomy12092045,https://openalex.org/W4293415447,Metabolomic and Transcriptomic Analyses Reveal Association of Mature Fruit Pericarp Color Variation with Chlorophyll and Flavonoid Biosynthesis in Wax Gourd (Benincasa hispida),unreviewed
