species,inat_taxon_id,first_discovery_round,n_rounds_seen,unique_discovery_observations,occupied_discovery_cells
Gaertnera pauciflora,472046,3,6,1,1
Begonia crenata,472112,1,8,5,2
Euchilopsis linearis,472119,3,3,2,2
Misopates salvagense,472194,13,2,1,1
Thyridia repens,472208,0,10,8,3
Impatiens minor,472264,7,8,3,1
Angraecum huntleyoides,472267,1,6,1,1
Maltebrunia leersioides,472269,3,4,1,1
Lycopus exaltatus,472311,1,8,5,4
Carlina salicifolia,472312,5,10,8,1
Helichrysum melaleucum,472317,17,2,1,1
Pavonia odorata,472346,0,5,3,1
Achillea atrata,472350,19,2,1,1
Psychotria taxifolia,472426,5,6,1,1
Gentianopsis barbata,472451,1,14,8,3
Cleome monophylla,472455,7,8,5,2
Cylindropuntia whipplei,472472,0,1,1,1
Ecbolium humbertii,472516,0,1,1,1
Bremeria hymenopogonoides,472665,9,2,1,1
Gaertnera macrobotrys,472667,0,7,1,1
Solanum tomentosum,472816,7,5,4,2
Solanum trinominum,472817,9,2,1,1
Acidonia microcarpa,472875,18,2,1,1
Rhus chinensis,472886,3,10,6,2
Cyrtostylis robusta,472962,1,12,12,3
Zabelia triflora,472976,15,2,1,1
Clerodendrum cyrtophyllum,472981,0,9,6,2
Azorella trifurcata,473032,0,10,8,1
Wahlenbergia madagascariensis,473085,1,6,2,1
Thecacoris perrieri,473102,0,3,1,1
Solanum erythracanthum,473114,0,11,3,2
Scleria gaertneri,473122,3,4,1,1
Rubus alceifolius,473136,19,2,1,1
Psychotria parkeri,473139,11,2,1,1
Psychotria imerinensis,473147,3,2,1,1
Grossera perrieri,473154,7,6,1,1
Phyllanthus casticum,473164,0,9,4,1
Microcoelia macrantha,473183,1,6,1,1
Meineckia orientalis,473206,3,2,1,1
Platanthera ephemerantha,473217,1,2,1,1
Lobelia hartlaubii,473223,5,4,1,1
Danais fragrans,473283,5,2,1,1
Cynorkis rosellata,473290,15,2,1,1
Thymelaea villosa,473295,9,2,1,1
Crassocephalum montuosum,473304,1,10,3,2
Cathariostachys madagascariensis,473326,1,6,1,1
Cardamine africana,473333,11,2,1,1
Bulbophyllum cylindrobulbum,473340,0,7,2,1
Lonicera pyrenaica,473380,7,6,3,1
Zanthoxylum schinifolium,473422,9,2,1,1
Colebrookea oppositifolia,473484,9,2,1,1
Saussurea obvallata,473571,1,2,1,1
Eugenia lucida,473590,0,9,4,1
Antidesma madagascariense,473600,0,9,3,1
Leucas martinicensis,473616,3,14,7,5
Pogostemon benghalensis,473620,9,4,3,1
Pogostemon purpurascens,473623,13,2,1,1
Scutellaria discolor,473626,0,3,1,1
Geranium refractum,473672,15,2,1,1
Aconitum anthora,473706,1,6,4,2
Ardisia virens,473707,11,4,1,1
Pedicularis cheilanthifolia,473714,7,4,2,2
Impatiens chinensis,473753,0,3,3,3
Cardamine trichocarpa,473784,0,3,2,1
Schouwia purpurea,473786,0,21,1,1
Crassula pubescens,473887,0,1,1,1
Hypoxis angustifolia,473904,1,12,5,3
Anthocleista amplexicaulis,473960,0,3,1,1
Crotalaria leptostachya,473964,5,8,2,1
Lavandula gibsonii,473966,9,2,1,1
Justicia rhodoptera,473976,3,10,2,1
Clerodendrum arenarium,473985,7,4,1,1
Psiadia altissima,473995,19,2,1,1
Euphorbia missurica,474008,7,4,2,1
Clerodendrum fortunatum,474009,5,6,3,1
Indigofera argentea,474025,5,2,1,1
Strobilanthes callosa,474029,0,11,6,2
Adelocaryum coelestinum,474031,3,8,5,1
Tarchonanthus camphoratus,474039,3,2,1,1
Hysterobaeckea behrii,474094,3,9,6,3
Hypoestes longituba,474104,19,2,1,1
Cynorkis coccinelloides,474110,5,6,2,1
Viburnum japonicum,474121,18,2,1,1
Chloraea magellanica,474124,0,20,21,2
Gavilea odoratissima,474125,1,7,5,1
Chloraea alpina,474126,0,14,9,1
Emilia humifusa,474140,0,11,1,1
Sambucus javanica,474166,3,6,3,2
Lotus campylocladus,474170,0,5,3,1
Achyranthes bidentata,474181,9,2,1,1
Distephanus antandroy,474186,3,4,1,1
Koehneria madagascariensis,474188,3,4,1,1
Uncarina abbreviata,474190,5,2,1,1
Haloxylon salicornicum,474194,7,6,2,1
Hypselodelphys scandens,474228,1,8,1,1
Xeronema moorei,474287,0,19,6,1
Crinum arenarium,474291,5,6,3,2
Pterocaulon lorentzii,474337,12,2,1,1
Barnardia japonica,474363,0,11,12,3
Humulus scandens,474366,3,12,7,5
Dioscorea seriflora,474367,7,6,3,1
Polygala fruticosa,474386,3,4,3,2
Caladenia tentaculata,474399,0,21,107,2
Eucalyptus porosa,474403,5,6,2,2
Kunzea baxteri,474444,0,9,7,4
Solanum aridum,474445,3,2,1,1
Caladenia prolata,474473,7,6,6,1
Toxicodendron sylvestre,474638,17,2,1,1
Opopanax hispidus,474665,5,2,1,1
Passiflora viridiflora,474706,5,12,6,2
Disa flexuosa,474991,0,4,3,1
Disa bracteata,475002,0,19,18,5
Disa cylindrica,475003,18,2,1,1
Adenia densiflora,475074,17,4,1,1
Mostuea brunonis,475075,0,19,18,2
Deidamia alata,475078,19,2,1,1
Dicliptera ciliaris,475081,0,13,9,4
Volkameria aculeata,475083,1,8,3,2
Kalanchoe porphyrocalyx,475087,9,6,2,1
Bakerella clavata,475089,0,3,1,1
Physocalymma scaberrimum,475172,1,14,8,2
Antonia ovata,475175,5,4,1,1
Lindernia rotundifolia,475201,0,21,14,9
Cocculus pendulus,475210,1,6,1,1
Sisymbrium brassiciforme,475218,19,2,1,1
Elaeodendron orientale,475219,7,4,1,1
Ipomopsis pringlei,475225,9,2,1,1
Salvia carranzae,475320,3,2,1,1
Eleutherococcus sessiliflorus,475357,11,2,1,1
Indigofera cordifolia,475401,0,9,6,3
Gravesia laxiflora,475421,3,2,1,1
Andringitra macrantha,475473,11,4,1,1
Epidendrum cristatum,475475,11,2,1,1
Viola maculata,475490,0,5,3,2
Justicia glauca,475560,0,3,2,1
Galatella linosyris,475571,1,8,4,4
Jacobaea erucifolia,475572,1,10,4,3
Sulla coronaria,475573,3,4,3,2
Ruellia dissidens,475674,0,7,2,1
Crotalaria grahamiana,475684,1,6,3,2
Medinilla sedifolia,475686,1,16,6,1
Cytinus glandulosus,475694,13,2,1,1
Uncarina leptocarpa,475741,0,5,2,1
Acer ukurunduense,475869,0,19,11,2
Melampyrum roseum,475871,11,4,2,2
Chrysanthemum zawadzkii,475872,1,18,4,4
Pittosporum rangitahua,475964,0,21,1,1
Coffea grevei,476007,3,4,1,1
Justicia striata,476018,3,6,2,1
Coffea pervilleana,476019,7,4,1,1
Ehretia cymosa,476022,5,4,1,1
Biophytum albizzioides,476023,0,5,1,1
Hildegardia erythrosiphon,476028,7,4,1,1
Turraea sericea,476030,5,6,2,1
Ixeris japonica,476054,5,4,2,1
Tritonia laxifolia,476098,5,6,4,2
Onobrychis montana,476116,17,2,1,1
Halleria elliptica,476150,0,11,9,2
Dyschoriste siphonantha,476185,3,4,2,1
Echinops adenocaulos,476188,1,4,2,1
Bupleurum veronense,476193,5,2,1,1
Elsholtzia splendens,478510,1,2,1,1
Cypella herbertii,479047,1,13,11,3
Pombalia calceolaria,479069,0,9,4,2
Plectaneia thouarsii,479074,7,2,1,1
Vigna angivensis,479096,9,2,1,1
Silene succulenta,479380,0,21,1,1
Eriosema psoraleoides,479401,1,6,3,2
Tabernaemontana undulata,479406,1,8,3,1
Handroanthus serratifolius,479408,0,21,36,5
Coursetia ferruginea,479409,11,2,1,1
Pancratium illyricum,479418,5,2,1,1
Torenia thouarsii,479455,3,6,2,1
Erythrina falcata,479632,3,8,4,2
Neoregelia spectabilis,479671,17,2,1,1
Tadehagi triquetrum,479679,1,8,4,2
Melaleuca salicina,479697,5,4,2,2
Alphitonia neocaledonica,479753,0,13,4,1
Crepidiastrum sonchifolium,479773,0,15,15,2
Micromyrtus ciliata,479890,1,4,2,1
Tristerix corymbosus,479949,0,18,27,2
Tabernaemontana catharinensis,479950,1,11,7,2
Bertiera longithyrsa,479958,5,4,1,1
Mendoncia flagellaris,479960,0,9,2,1
Noronhia verticillata,479961,0,3,1,1
Euphorbia regis-jubae,479962,0,13,7,1
Pseuderanthemum graciliflorum,479993,3,12,2,2
Phaleria clerodendron,480046,9,8,4,1
Polygala nicaeensis,480126,5,2,1,1
Tetradenia fruticosa,480190,19,2,1,1
Cordylostigma virgatum,480195,9,4,2,1
Sphenotoma capitata,480233,14,2,1,1
Sphenotoma gracilis,480235,0,6,4,1
Oligarrhena micrantha,480243,1,4,2,2
Verticordia chrysantha,480244,9,2,1,1
Crepidiastrum denticulatum,480254,0,9,7,4
Senecio subulatus,480270,0,5,3,2
Mulguraea aspera,480300,12,2,1,1
Phacelia artemisioides,480303,14,2,1,1
Acacia willdenowiana,480306,3,6,3,1
Junellia juniperina,480308,3,4,3,2
Centaurea uniflora,480315,5,2,1,1
Junellia seriphioides,480386,14,2,1,1
Achillea setacea,480434,11,6,2,2
Nepeta nepetella,480660,5,2,1,1
Calycera crassifolia,480702,5,7,4,2
Carex vulpina,480754,9,2,1,1
Trixis praestans,481153,1,7,4,2
Turnera sidoides,481156,0,10,7,2
Dactylorhiza insularis,481160,17,4,2,1
Etlingera coccinea,481267,0,9,4,3
Acer obtusifolium,481318,5,2,1,1
Goodenia amplexans,481344,1,8,4,1
Maireana brevifolia,481346,0,9,6,3
Scaevola crassifolia,481347,0,17,16,4
Odontites vulgaris,481479,0,21,31,10
Tricholepis amplexicaulis,481513,9,2,2,1
Calacanthus grandiflorus,481516,15,2,1,1
Nama jamaicensis,481559,5,6,3,2
Nitraria billardierei,481614,5,14,7,3
Teucrium racemosum,481615,0,3,2,2
Xanthorrhoea semiplana,481616,0,8,6,1
Cullen australasicum,481619,11,3,2,2
Eremophila longifolia,481620,1,12,9,2
Anacyclus pyrethrum,481626,15,2,1,1
Cymbidium suave,481665,0,5,4,2
Boronia microphylla,481766,1,12,8,1
Dalechampia caperonioides,481785,3,6,3,1
Brosimum gaudichaudii,481786,9,2,1,1
Palicourea coriacea,481789,9,2,1,1
Mandevilla illustris,481792,1,8,4,3
Camarea ericoides,481794,0,3,2,1
Camarea affinis,481795,11,4,1,1
Macairea radula,481803,1,6,3,1
Sisyrinchium bermudiana,481818,5,6,7,2
Allocasuarina muelleriana,481898,9,2,1,1
Viola dacica,481900,3,2,1,1
Gomphocarpus cancellatus,481919,1,10,6,3
Lysiana exocarpi,481922,0,21,54,3
Balbisia peduncularis,481930,9,2,1,1
Amyema miquelii,481934,0,21,46,6
Wahlenbergia luteola,481935,7,4,2,2
Calostemma purpureum,481936,1,12,9,2
Acacia rupicola,481938,0,7,5,2
Iris filifolia,481946,7,2,1,1
Iris humilis,481948,0,13,5,3
Iris pontica,481949,17,2,1,1
Carex aucklandica,481988,12,2,1,1
Carex erebus,481997,10,7,1,1
Dioscorea humifusa,482077,3,2,1,1
Physena sessiliflora,482165,5,4,1,1
Bremeria pervillei,482167,0,9,1,1
Delphinium albiflorum,482184,9,2,1,1
Cuscuta lupuliformis,482287,15,2,2,1
Cuscuta palaestina,482290,5,4,2,2
Helichrysum obconicum,482356,5,4,1,1
Tiedemannia filiformis,482408,7,4,2,1
Genista germanica,482449,3,2,1,1
Eulophia ramosa,482647,0,9,4,2
Epistephium sclerophyllum,482716,0,5,2,1
Solanum paludosum,482718,3,12,7,2
Muscari parviflorum,482726,0,7,4,2
Muscari spreitzenhoferi,482729,9,4,2,1
Polygala schoenlankii,482752,0,3,1,1
Combretum violaceum,482753,1,12,4,2
Crocus alatavicus,482768,0,17,27,1
Crocus korolkowii,482769,0,3,2,1
Crocus nivalis,482783,1,4,2,1
Centaurea hyalolepis,482803,3,8,4,3
Crocus vallicola,482816,19,2,1,1
Crocus scharojanii,482817,3,4,2,1
Berkheya rigida,482821,11,4,3,2
Taraxacum pseudoroseum,482832,3,6,3,1
Cyrtanthus mckenii,482833,1,8,2,2
Libertia sessiliflora,482837,0,15,14,1
Iris tuberosa,482838,11,4,2,1
Bromelia balansae,482839,7,5,5,2
Ipomoea aristolochiifolia,482842,0,3,2,2
Scilla hyacinthoides,482848,5,6,2,1
Cyclamen balearicum,482862,7,2,1,1
Cyclamen creticum,482864,1,2,1,1
Cyclamen graecum,482866,0,7,4,1
Cyclamen rohlfsianum,482872,1,8,4,1
Cyclamen alpinum,482874,3,4,1,1
Gymnospermium alberti,482875,1,6,4,1
Tecophilaea violiflora,482883,0,9,5,1
Lapiedra martinezii,482888,0,3,2,1
Colchicum robustum,482892,5,4,3,1
Tephroseris kirilowii,482934,9,2,1,1
Vitis amurensis,482937,1,2,1,1
Lathyrus quinquenervius,482953,1,18,3,2
Carex brizoides,483070,1,2,1,1
Amana edulis,483080,3,10,7,3
Ornithogalum refractum,483100,15,2,1,1
Ornithogalum divergens,483101,3,2,1,1
Arenaria biflora,483118,13,2,1,1
Erysimum cuspidatum,483165,3,2,1,1
Astrantia minor,483171,5,4,2,1
Viola collina,483180,0,19,9,4
Viola ambigua,483181,0,9,5,3
Viola mirabilis,483183,0,13,13,4
Viola declinata,483199,19,2,1,1
Aconitum carmichaelii,483214,19,2,1,1
Delphinium peregrinum,483215,7,4,2,2
Scrophularia arguta,483249,1,8,3,2
Scrophularia heterophylla,483255,13,2,1,1
Cardamine leucantha,483423,11,8,3,3
Drosera ordensis,483429,0,5,5,1
Pfaffia glomerata,483529,17,2,1,1
Eriaxis rigida,483702,0,21,22,1
Globimetula mweroensis,483731,0,9,6,1
Rinorea spinosa,483789,3,6,1,1
Pyrostria bibracteata,483791,0,21,1,1
Aerides multiflora,483916,17,2,1,1
Anaphalis contorta,483940,13,2,1,1
Arisaema consanguineum,483983,0,7,4,2
Artemisia nilagirica,483984,1,2,1,1
Asparagus racemosus,484006,9,6,1,1
Baccharis notosergila,484056,1,6,3,1
Sapium haematospermum,484057,7,7,6,3
Scorzoneroides muelleri,484067,9,2,1,1
Cymbidium lowianum,484123,13,2,1,1
Tricalysia orientalis,484124,0,5,1,1
Senna aphylla,484147,12,2,2,1
Anthosachne scabra,484160,18,2,1,1
Carex alba,484172,13,2,1,1
Carex fuliginosa,484228,0,7,2,1
Cymbidium hookerianum,484261,19,2,1,1
Coelogyne lentiginosa,484407,5,2,1,1
Dendrobium unicum,484408,1,4,1,1
Ceratocephala falcata,484673,9,1,1,1
Roemeria hybrida,484674,1,4,4,3
Matthiola tricuspidata,484679,1,6,3,2
Onobrychis caput-galli,484680,11,4,2,1
Mercurialis tomentosa,484681,1,2,1,1
Acacia simplex,484689,0,21,9,2
Campanula stevenii,484742,19,2,1,1
Miconia squamulosa,484775,1,6,2,1
Deutzia pulchra,484809,3,10,7,1
Crassula setulosa,484813,11,2,1,1
Proustia cuneifolia,484839,3,9,6,2
Silene bupleuroides,484868,11,2,1,1
Silene chlorantha,484872,1,2,1,1
Silene viscosa,484875,0,9,6,3
Silene tatarica,484883,5,2,1,1
Silene wolgensis,484892,1,6,2,2
Silene densiflora,484897,0,3,1,1
Silene procumbens,484916,15,2,1,1
Viburnum treleasei,484935,0,21,24,1
Aerangis brachycarpa,484941,5,6,1,1
Zanthoxylum avicennae,484955,7,2,1,1
Commelina madagascarica,484965,0,21,20,2
Crotalaria diosmifolia,484968,0,1,1,1
Streptocarpus brevistamineus,484973,0,7,2,1
Hesperis sibirica,484984,0,19,9,4
Cytinus baronii,485051,13,2,1,1
Diospyros gracilipes,485058,3,8,2,1
Grevillea exul,485081,0,19,10,1
Ficaria ficarioides,485100,13,2,1,1
Soldanella carpatica,485110,3,2,1,1
Billbergia nutans,485181,0,3,2,1
Silene coronaria,485191,1,14,8,6
Bulbophyllum longiflorum,485205,0,9,3,3
Megistostegium nodulosum,485209,1,4,1,1
Eucalyptus leptophylla,485210,0,7,2,2
Melaleuca uncinata,485211,1,5,4,2
Cyperus niveus,485225,7,4,2,2
Isopogon ceratophyllus,485275,1,9,7,2
Albuca amoena,485322,0,5,3,1
Siphonochilus puncticulatus,485396,7,14,2,1
Bulbophyllum falcatum,485438,5,14,2,1
Digitaria sericea,485454,9,2,1,1
Euphorbia mellifera,485518,5,4,2,1
Crossostylis grandiflora,485601,3,10,4,1
Lagoecia cuminoides,485615,0,3,2,2
Chaerophyllum nodosum,485620,3,2,1,1
Eremurus spectabilis,485663,17,2,1,1
Bellevalia trifoliata,485732,0,5,2,2
Vaccinium arctostaphylos,485738,9,2,1,1
Blackstonia acuminata,485745,5,10,2,2
Lomatogonium carinthiacum,485761,1,10,6,3
Cymbalaria longipes,485794,7,2,1,1
Thalictrum lucidum,485803,5,4,3,1
Thesium ebracteatum,485811,9,4,2,2
Corydalis capnoides,485824,11,2,1,1
Cerinthe retorta,485872,19,2,1,1
Echium angustifolium,485873,1,16,20,2
Digitalis viridiflora,485896,15,2,1,1
Oxalis griffithii,485923,3,8,4,1
Oxalis leucolepis,485925,0,1,1,1
Oxalis obtriangulata,485926,19,2,2,1
Peucedanum alsaticum,485948,3,2,1,1
Peucedanum cervaria,485949,11,2,1,1
Iris dichotoma,485953,0,15,13,3
Gagea spathacea,485987,1,2,1,1
Sparganium gramineum,485995,3,2,1,1
Rhodopentas parvifolia,485999,0,3,2,1
Sedum caeruleum,486004,3,6,3,1
Saxifraga aspera,486032,3,2,1,1
Saxifraga bryoides,486033,7,2,1,1
Saxifraga androsacea,486045,3,4,2,2
Tristemma mauritianum,486077,0,19,6,2
Dianthus giganteus,486117,15,2,1,1
Dianthus borbasii,486133,1,4,2,1
Dianthus campestris,486150,1,4,2,2
Dianthus glacialis,486156,0,3,2,1
Dianthus longicalyx,486210,5,6,3,2
Dianthus monadelphus,486232,1,2,1,1
Lobelia nummularia,486255,1,16,6,2
Bassia prostrata,486304,11,4,2,2
Viola crassiuscula,486326,5,2,1,1
Viola grisebachiana,486332,13,2,1,1
Viola oreades,486345,15,2,1,1
Incarvillea compacta,486409,5,6,2,2
Incarvillea olgae,486411,5,2,1,1
Incarvillea sinensis,486412,1,6,2,1
Lilium medeoloides,486419,17,2,1,1
Lilium monadelphum,486420,3,6,2,1
Lilium nepalense,486421,1,4,2,1
Rumex thyrsiflorus,486474,7,4,2,2
Schinus areira,486531,13,6,2,1
Toxicodendron orientale,486549,0,7,3,1
Barleria crassa,486550,0,3,2,1
Strophanthus welwitschii,486555,0,17,4,1
Gymnospermium altaicum,486598,1,16,12,3
Corydalis nobilis,486599,5,8,6,4
Corydalis angustifolia,486604,9,2,1,1
Corydalis bracteata,486605,1,18,14,3
Mammea zeereae,486629,1,2,1,1
Tulipa montana,486648,0,5,2,1
Eritrichium canum,486652,5,2,1,1
Palicourea croceoides,486655,0,9,5,1
Bremeria humblotii,486878,3,8,1,1
Argomuellera gigantea,486898,19,2,1,1
Micronychia macrophylla,486907,17,2,1,1
Geranium subargenteum,486919,5,2,1,1
Geranium albiflorum,486923,1,4,2,1
Geranium linearilobum,486928,11,6,4,2
Geranium vagans,486930,9,4,2,1
Geranium collinum,486931,1,10,5,2
Geranium divaricatum,486932,0,13,11,2
Sopubia cana,486951,13,2,1,1
Primula clevelandii,486971,3,2,1,1
Plocama calabrica,487009,1,4,2,1
Centranthus longiflorus,487014,5,4,1,1
Dichrocephala integrifolia,487020,0,13,4,3
Bellis longifolia,487022,5,2,1,1
Paropsia edulis,487029,1,4,1,1
Nama demissa,487050,1,10,7,2
Senecio pterophorus,487096,0,19,21,6
Primula hendersonii,487175,0,19,18,1
Anthemis ruthenica,487199,1,6,3,1
Linum nervosum,487225,11,2,1,1
Linum decumbens,487237,15,2,1,1
Linum hirsutum,487238,19,2,1,1
Linum pubescens,487242,9,8,4,2
Linum tenue,487244,3,2,1,1
Biophytum aeschynomenifolia,487287,0,11,5,1
Pterostylis nana,487293,0,21,60,3
Hilleria latifolia,487332,17,2,1,1
Platostoma madagascariense,487338,0,7,1,1
Peddiea involucrata,487357,1,2,1,1
Pitcairnia brittoniana,487407,15,2,1,1
Viola capillaris,487409,7,2,1,1
Banksia baxteri,487473,11,1,1,1
Cuatresia riparia,487485,7,2,1,1
Canscora diffusa,487511,0,9,3,2
Canscora andrographioides,487513,19,2,1,1
Vochysia thyrsoidea,487526,13,2,1,1
Lepidaploa canescens,487601,0,3,1,1
Corallodiscus lanuginosus,487621,1,4,3,1
Camellia oleifera,487657,1,2,1,1
Camellia kissi,487659,7,2,1,1
Sobralia dichotoma,487697,3,14,8,1
Turnera melochioides,487707,3,2,1,1
Onobrychis arenaria,487708,0,17,6,5
Euphorbia illirica,487710,11,2,1,1
Urtica sykesii,487715,14,2,1,1
Colliguaja odorifera,487719,0,21,27,2
Scutellaria alpina,487737,1,6,3,2
Plantago atrata,487739,3,2,1,1
Jacobaea incana,487762,5,2,1,1
Lotus alpinus,487791,7,4,2,2
Carex cespitosa,487827,5,2,1,1
Mimulus madagascariensis,488413,1,6,1,1
Phalaenopsis pulcherrima,488434,13,2,1,1
Clematis villosa,488437,0,11,2,2
Clematis anethifolia,488438,0,7,2,1
Caiophora chuquitensis,488444,5,12,8,2
Impatiens javensis,488463,1,8,2,1
Erica abietina,488466,9,2,1,1
Tillandsia didisticha,488468,3,6,3,3
Prospero autumnale,488542,0,17,17,4
Gentiana occidentalis,488648,9,6,3,1
Orbea verrucosa,488710,0,1,1,1
Billburttia capensoides,488750,0,1,1,1
Alstonia muelleriana,488753,11,2,1,1
Cakile arctica,488783,0,19,14,1
Calamagrostis arundinacea,488787,5,4,2,1
Senecio nemorensis,488805,0,15,9,4
Galium normanii,488806,1,14,5,1
Melicope rubra,488825,3,10,7,2
Santalum acuminatum,488895,5,9,4,2
Phylloctenium bernieri,488914,11,2,1,1
Phylloctenium decaryanum,488915,9,4,1,1
Tanaecium pyramidatum,489069,0,5,2,2
Anemone decapetala,489105,1,6,3,1
Clerodendrum filipes,489238,9,6,1,1
Medinilla micrantha,489248,9,2,1,1
Stachys filifolia,489250,0,7,1,1
Pitraea cuneato-ovata,489261,3,2,1,1
Leucosidea sericea,489282,1,2,1,1
Condea emoryi,489286,1,10,9,2
Apodytes dimidiata,489301,3,10,6,4
Wrightia tinctoria,489308,3,16,13,2
Dalbergia lanceolaria,489314,9,2,1,1
Suaeda aegyptiaca,489397,3,8,3,1
Launaea capitata,489402,11,4,1,1
Dyerophytum indicum,489408,5,10,2,2
Cleome rupicola,489409,1,16,9,1
Heliotropium lasiocarpum,489414,5,2,1,1
Ochradenus arabicus,489415,0,9,8,1
Convolvulus virgatus,489417,0,19,9,2
Haplophyllum tuberculatum,489421,0,19,22,2
Chrozophora oblongifolia,489423,0,3,1,1
Ochradenus aucheri,489424,0,15,7,1
Veronica syriaca,489457,5,6,3,1
Lupinus pilosus,489458,5,8,5,1
Aloe broomii,489470,9,2,1,1
Loudetia simplex,489495,0,1,1,1
Berberis ilicifolia,489502,0,21,21,1
Mitchella undulata,489540,13,4,2,2
Hibiscus pedunculatus,489547,5,12,9,2
Hibiscus brachysiphonius,489548,15,2,1,1
Radyera farragei,489550,0,5,1,1
Vachellia tortilis,489563,0,21,13,4
Isatis lusitanica,489596,9,2,1,1
Ornithogalum collinum,489622,1,2,1,1
Tricliceras glanduliferum,489664,5,2,1,1
Calceolaria uniflora,489666,0,17,19,2
Streptocarpus dunnii,489705,5,4,2,1
Erodium acaule,489726,0,7,3,2
Grindelia chiloensis,489760,0,2,2,1
Plocama aucheri,489766,0,5,2,1
Heliotropium calcareum,489767,9,2,1,1
Arnebia hispidissima,489768,0,11,9,1
Plantago ciliata,489769,1,8,3,1
Morettia parviflora,489770,0,11,3,2
Polycarpaea repens,489771,0,21,1,1
Geranium libani,489782,1,4,1,1
Coccinia rehmannii,489787,7,4,1,1
Salvia hierosolymitana,489788,5,2,2,1
Salvia austriaca,489793,13,2,1,1
Cyperus brevifolius,489795,1,16,3,3
Bellevalia flexuosa,489867,1,16,11,1
Dendrosenecio keniensis,489940,5,2,1,1
Eulophia petersii,489945,0,9,2,2
Ornithogalum pyramidale,489989,5,8,5,2
Clinopodium micromerioides,490003,1,2,1,1
Tribulus pentandrus,490034,0,9,3,1
Anastatica hierochuntica,490035,0,21,7,3
Aspasia epidendroides,490086,11,2,1,1
Cyperus denudatus,490160,5,4,1,1
Azorella macquariensis,490197,0,21,2,1
Sannantha pinifolia,490212,11,4,2,1
Malva cretica,490223,9,2,1,1
Physalis purpurea,490345,15,2,1,1
Polystachya dendrobiiflora,490377,0,15,2,1
Malva subovata,490378,13,4,2,2
Malva setigera,490380,0,7,4,3
Hyperacanthus perrieri,490474,5,4,1,1
Limonium pectinatum,490494,0,9,9,1
Krigia virginica,490542,5,2,1,1
Perezia recurvata,490592,0,21,43,3
Phyllarthron bernierianum,490652,19,2,1,1
Ledebouria revoluta,490656,1,8,3,3
Ledebouria ovatifolia,490657,18,2,1,1
Gladiolus elliotii,490659,0,3,2,1
Capsella grandiflora,490663,7,2,1,1
Buchnera simplex,490674,13,2,1,1
Lannea edulis,490675,3,4,2,2
Eriobotrya deflexa,490705,9,2,1,1
Xerophyta humilis,490710,0,3,2,1
Cardamine changbaiana,490732,7,2,1,1
Besleria barbensis,490751,5,2,1,1
Justicia anagalloides,490796,7,2,1,1
Salvia fruticosa,490847,0,3,2,2
Calceolaria dentata,490870,10,8,3,1
Weinmannia trichosperma,490876,0,3,2,1
Rhaphithamnus spinosus,490877,1,7,6,1
Lomatia hirsuta,490878,7,7,6,1
Maytenus disticha,490879,0,12,5,2
Sisyrinchium pearcei,490881,12,2,1,1
Gevuina avellana,490916,0,2,2,1
Fuchsia lycioides,490920,0,11,9,1
Floscopa glomerata,490930,0,7,4,3
Floscopa robusta,490986,3,2,1,1
Stachyurus himalaicus,490991,11,2,1,1
Asphodelus cerasiferus,491058,0,3,2,1
Mucuna birdwoodiana,491065,7,2,3,1
Byttneria voulily,491077,13,2,1,1
Sciaphila albescens,491103,11,2,1,1
Sciaphila purpurea,491126,15,2,1,1
Pulicaria glutinosa,491147,0,17,9,1
Medicago doliata,491194,15,2,1,1
Trifolium physodes,491213,0,1,1,1
Astripomoea lachnosperma,491241,3,6,2,1
Astripomoea malvacea,491242,0,1,1,1
Astripomoea hyoscyamoides,491244,3,2,1,1
Pavonia senegalensis,491251,9,6,2,1
Sonchus acaulis,491253,5,8,4,1
Reseda aucheri,491257,0,15,7,1
Viola philippica,491262,1,8,4,1
Viola mongolica,491263,1,4,1,1
Olearia angulata,491282,7,2,1,1
Ophrys omegaifera,491306,0,1,1,1
Corydalis turtschaninovii,491319,0,3,2,1
Oldenlandia consanguinea,491334,17,2,1,1
Hovea purpurea,491361,0,3,1,1
Aechmea aquilega,491388,3,6,3,1
Notothixos subaureus,491427,5,6,3,2
Notothixos incanus,491430,19,2,1,1
Gunnera brephogea,491458,13,2,1,1
Solidago houghtonii,491521,9,2,1,1
Pulsatilla chinensis,491582,0,17,15,2
Ruschia geminiflora,491673,1,4,2,2
Ruschia macowanii,491674,1,3,2,1
Allium polyanthum,491849,11,4,2,2
Wahlenbergia ceracea,491965,11,1,1,1
Stachys glutinosa,491984,5,2,1,1
Onopordum blancheanum,492052,17,2,1,1
Cichorium pumilum,492060,1,2,1,1
Alcea setosa,492061,0,5,4,1
Azara celastrina,492085,18,2,1,1
Azara dentata,492086,1,4,2,1
Picnomon acarna,492089,3,4,3,2
Lomelosia prolifera,492099,3,4,2,1
Salvia dominica,492100,13,4,2,1
Geropogon hybridus,492104,9,10,4,2
Trifolium clypeatum,492107,11,6,3,1
Euphorbia hierosolymitana,492121,1,12,9,1
Cota altissima,492125,3,2,1,1
Veronica bishopiana,492203,3,2,1,1
Dipodium pardalinum,492231,3,5,3,1
Carex pilosa,492233,1,6,3,1
Salvia gesneriiflora,492247,0,17,17,3
Ajuga multiflora,492294,13,2,2,1
Philesia magellanica,492337,0,19,16,2
Oberonia equitans,492340,0,21,2,2
