species,inat_taxon_id,target_cell_order,cell_id,old_metadata_records,old_unique_observers,cell_center_latitude,cell_center_longitude,min_distance_to_previous_selected_km
Chamaenerion angustifolium,564969,6,144,7,5,62.73395554926718,-170.0,3483.9505736017595
Chamaenerion latifolium,564970,1,151,7,7,62.73395554926718,-30.0,
Chamaenerion latifolium,564970,2,161,10,9,62.73395554926718,170.0,5964.130701893073
Chamaenerion latifolium,564970,3,146,5,5,62.73395554926718,-130.0,2944.8505061310448
Chamaenerion latifolium,564970,4,148,4,4,62.73395554926718,-90.0,2004.7725461811929
Chamaenerion latifolium,564970,5,144,4,3,62.73395554926718,-170.0,1014.7277199581262
Chamaenerion latifolium,564970,6,145,5,5,62.73395554926718,-150.0,1014.7277199581262
Bidens alba,1095846,1,112,2,2,26.387799961242997,-90.0,
Bidens alba,1095846,2,68,4,4,-12.839588406904156,110.0,17441.29588348506
Bidens alba,1095846,3,116,2,2,26.387799961242997,-10.0,7818.483153565644
Bidens alba,1095846,4,109,4,4,26.387799961242997,-150.0,5917.632118556732
Bidens alba,1095846,5,106,3,3,12.839588406904143,150.0,5253.69314446163
Bidens alba,1095846,6,122,4,4,26.387799961242997,110.0,4361.892596948078
