tranche,species,n_classifiable,D,C_star,S_star,organization_state,maximum_pairwise_span_km,frag_100km,frag_250km,frag_500km,frag_multiscale,valid_dated_photos,eligible_local_dated_pairs,same_morph_local_dated_pairs,cross_morph_local_dated_pairs,phenology_proxy_gate,phenology_delta_days,phenology_within_species_perm_p
discovery,Eutrochium fistulosum,47,0.2933454051607062,False,False,unresolved_photo_state,2220.9366473404257,0.7021276595744681,0.14893617021276595,0.0,0.28368794326241137,47,26,21,5,False,,
discovery,Eutrochium maculatum,47,0.2978723404255319,False,False,unresolved_photo_state,4262.6702153398855,0.9361702127659575,0.3829787234042553,0.04255319148936165,0.4539007092198581,47,3,1,2,False,,
discovery,Fritillaria pyrenaica,47,0.6889995473064736,True,True,cooccurrence_and_segregation,996.1474801482484,0.17021276595744683,0.0,0.0,0.056737588652482275,47,257,83,174,True,-2.0,0.546
discovery,Galinsoga parviflora,64,0.35888671875,False,False,unresolved_photo_state,19677.827663657175,0.984375,0.890625,0.75,0.875,64,0,0,0,False,,
discovery,Geranium macrorrhizum,45,0.5244444444444445,False,False,unresolved_photo_state,10014.448065610375,0.9777777777777777,0.7555555555555555,0.5333333333333333,0.7555555555555555,45,0,0,0,False,,
discovery,Geranium molle,52,0.6427514792899409,False,False,unresolved_photo_state,19615.829761549325,0.9807692307692307,0.9230769230769231,0.5961538461538461,0.8333333333333334,52,0,0,0,False,,
discovery,Geranium yeoi,63,0.5840262030738221,True,True,cooccurrence_and_segregation,18859.031286305395,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,63,364,171,193,True,-2.0,0.87
discovery,Gompholobium huegelii,66,0.3673094582185492,True,False,local_cooccurrence_only,1626.3120556056642,0.7575757575757576,0.015151515151515138,0.0,0.25757575757575757,66,271,203,68,True,4.5,0.19
discovery,Grevillea alpina,42,0.5770975056689343,True,False,local_cooccurrence_only,639.1642571543025,0.023809523809523836,0.0,0.0,0.007936507936507945,42,282,120,162,True,3.0,0.656
discovery,Guzmania monostachia,45,0.4404938271604938,True,False,local_cooccurrence_only,2934.180280893567,0.7111111111111111,0.5555555555555556,0.5555555555555556,0.6074074074074074,45,110,60,50,True,22.5,0.086
discovery,Hibiscus denudatus,52,0.3565088757396449,True,True,cooccurrence_and_segregation,1709.1042328810306,0.8076923076923077,0.34615384615384615,0.0,0.3846153846153846,52,73,47,26,True,6.0,0.835
discovery,Homogyne alpina,50,0.3656,True,False,local_cooccurrence_only,2046.3734961562902,0.26,0.18000000000000005,0.06000000000000005,0.1666666666666667,50,156,103,53,True,-3.0,0.64
discovery,Ipomoea cairica,48,0.5720486111111112,True,False,local_cooccurrence_only,19256.84101203934,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.6041666666666667,48,78,25,53,True,-20.0,0.292
discovery,Ipomoea pes-caprae,48,0.5512152777777778,False,False,unresolved_photo_state,19670.351446529494,0.9791666666666666,0.9791666666666666,0.9375,0.9652777777777777,48,0,0,0,False,,
discovery,Lathyrus japonicus,47,0.5015844273426889,False,False,unresolved_photo_state,11163.876612340353,0.9787234042553191,0.8297872340425532,0.8297872340425532,0.8794326241134751,47,0,0,0,False,,
discovery,Lathyrus palustris,41,0.62819750148721,False,False,unresolved_photo_state,9822.061832019439,0.9512195121951219,0.926829268292683,0.8292682926829268,0.9024390243902438,41,2,1,1,False,,
discovery,Lepidium campestre,68,0.2076124567474049,False,False,unresolved_photo_state,10886.030447097733,0.9852941176470589,0.8088235294117647,0.5882352941176471,0.7941176470588235,68,0,0,0,False,,
discovery,Leucaena leucocephala,49,0.3898375676801332,False,False,unresolved_photo_state,19606.507401143583,0.9795918367346939,0.9795918367346939,0.8979591836734694,0.9523809523809524,49,0,0,0,False,,
discovery,Linum lewisii,69,0.5402226423020373,False,False,unresolved_photo_state,4913.965751170737,0.9565217391304348,0.536231884057971,0.13043478260869568,0.5410628019323672,69,6,5,1,False,,
discovery,Lobelia erinus,64,0.26806640625,False,False,unresolved_photo_state,19690.1911791636,0.953125,0.84375,0.78125,0.859375,64,9,7,2,False,,
discovery,Loeselia glandulosa,52,0.632396449704142,True,False,local_cooccurrence_only,3396.72396082127,0.6346153846153846,0.21153846153846156,0.05769230769230771,0.30128205128205127,52,69,30,39,True,-7.0,0.275
discovery,Lupinus microcarpus,47,0.5667722951561793,True,False,local_cooccurrence_only,9835.47217321798,0.5319148936170213,0.19148936170212771,0.19148936170212771,0.30496453900709225,47,146,53,93,True,9.0,0.238
discovery,Malva moschata,53,0.481310074759701,False,False,unresolved_photo_state,9776.878586872961,0.9811320754716981,0.8301886792452831,0.5283018867924528,0.7798742138364779,53,0,0,0,False,,
