null_H0_delta,pure_C_count,pure_S_count
12.11166628255421,88,3
11.110185292369351,89,5
8.496997702512106,90,8
17.433654868839703,85,3
5.265186256281337,82,3
5.59341222558818,91,7
1.2238286239861207,87,1
9.311677212716514,89,5
18.65413108527427,90,2
3.486486082438361,87,5
23.643391161021825,92,5
15.893288853037435,89,5
6.900440287738026,86,4
5.037055825873856,83,2
8.708342594191542,90,1
3.8045975783308927,85,3
14.597503891471753,92,6
15.297575301475469,89,2
12.628028197025245,88,5
9.133253113910799,89,6
2.3386220062082037,89,3
11.7927710216723,91,2
16.662671634206227,90,2
6.914039027738924,88,4
19.467696813824332,90,4
17.183088884388425,87,4
11.508806026504491,88,8
15.703143887075406,90,1
21.467605085498917,90,1
13.276775686354354,87,5
14.233001605142666,87,4
10.000726884350449,89,3
11.111276314448313,89,6
20.709899360195134,88,2
6.242908113921484,85,3
16.913151800060852,88,4
6.055615408583934,83,4
16.154118607564666,87,4
15.349991604822195,86,4
7.431856574915667,90,2
10.880501467462492,90,3
6.659978858095202,90,2
5.969182312795944,91,4
5.529368089667244,88,4
10.128068530668507,90,6
28.70548527966634,90,3
-0.34364178354935393,89,3
11.02231120561116,85,3
17.538374462210854,89,4
0.7150984401518734,89,4
4.526583652463905,90,4
5.594507153960599,84,7
12.538580683937854,90,3
3.7985086677423343,89,7
5.673056368606516,88,7
19.548494886500535,88,2
13.17594613130293,90,3
10.18998273097445,92,3
2.753715450356566,88,5
3.6145696656185597,92,3
7.412262023372906,90,2
6.311175460541566,87,5
10.112712602849205,91,4
7.699412933355266,87,6
5.922542665167309,90,4
19.030756123156195,89,1
3.736577425686792,83,3
6.311175460541566,91,3
10.954043858991078,91,3
0.7494175485569765,90,2
23.688901630730122,90,3
15.916042445833941,87,3
6.32255225693982,88,5
3.1626131699790396,86,2
10.948599789889638,88,4
8.13665717923485,89,4
19.596592941484374,91,4
9.534821215245298,90,6
3.20520076952452,89,6
18.51964524211013,86,4
9.169431140919103,88,3
23.643391161021825,88,5
9.125494097540006,88,3
5.522444405081784,90,4
12.313188044914494,88,3
18.939755681829453,92,3
6.170934033355682,89,1
9.288923619920007,93,1
1.8804401095412482,93,4
35.26730202912704,89,1
3.8212622605388415,89,5
5.998716295548123,92,6
11.754285544527011,90,4
11.688530202955839,89,8
8.39721391237324,85,4
8.50682083183126,90,5
9.091360424229965,90,5
6.237075123959153,91,5
9.966593211040408,90,5
12.104982359453334,88,4
1.0993446605197668,92,3
12.034738154611402,85,4
13.069233077257078,87,6
2.7082049806482713,86,3
0.5607905445571073,87,4
24.262839920353564,87,5
15.048052349700551,89,1
8.719719390589795,85,7
0.33934365383152754,90,1
6.711755836943675,85,4
6.877665899250999,84,8
6.32255225693982,90,5
15.650027380730549,90,2
8.696965797793288,89,3
13.538601857033285,89,6
6.436037185510911,90,2
8.941098843759868,90,4
3.723606003335467,89,6
5.6616795722082625,89,11
13.17594613130293,92,5
8.645152378663562,89,6
8.876058379238518,88,4
7.794352042615601,88,2
8.546978517918692,89,5
14.049777105244088,89,4
11.307392799291963,85,4
5.548996684252304,90,5
10.08860097110864,83,3
16.997454024232567,88,3
3.8212622605388415,89,3
4.316970412176118,87,4
6.237075123959153,91,3
1.4675838626700117,89,5
11.650128081750655,90,2
7.206631290072261,89,8
26.232423225077355,92,4
4.8571354345047855,90,7
23.609257487711787,89,3
13.276775686354354,87,3
9.098778653957979,86,3
11.501154402211546,87,3
26.32772485618686,89,4
1.6183971043795822,86,2
28.855588962442923,87,3
16.469185648162913,87,2
2.540480330083258,88,4
9.179686841879187,88,2
11.033688002009413,88,9
28.00020626644495,91,2
21.322917135850396,89,4
30.904456359993944,89,4
15.180933135523997,89,6
3.140870350266253,90,2
6.501674238273608,87,3
5.209872416503988,89,5
12.230393338991869,89,4
9.1794781096845,87,4
8.615245864538775,85,9
8.292798612613124,89,4
6.205067706665723,88,5
28.821455289132878,86,7
8.05063365753472,83,6
7.468083588884527,91,6
6.77956315026754,88,5
2.2429703505152894,88,2
3.8707240483805525,85,2
31.502558959046546,89,4
8.303223279234802,87,5
8.656105831166032,91,6
35.656974031604875,88,2
10.121483739455543,86,6
9.871846266841628,86,5
8.120942314605026,88,4
16.107585324046866,89,2
13.29952927915086,91,9
9.960680441618265,86,10
11.033688002009413,90,5
2.753715450356566,90,3
